time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593929039312;0.0;0.0;166920192;46.9;311257.47
1593929040963;0.0;29.2;166920192;47.0;1812662.41
1593929042697;19.825;62.9;175886336;47.1;3432992.69
1593929044428;41.0;74.4;184344576;47.3;7944879.36
1593929046363;31.05;86.5;198647808;47.5;3849382.39
1593929048531;29.525;75.3;199479296;47.5;9575311.65
1593929050681;36.6;81.9;202133504;47.6;274354.41
1593929052716;31.15;75.0;202543104;47.8;11277934.54
1593929054741;31.15;76.9;204554240;47.9;790690.88
1593929056860;35.55;77.7;207241216;48.0;458650.27
1593929058921;36.375;73.9;206594048;48.1;343968.41
1593929061063;30.65;75.2;207044608;48.3;400539.28
1593929063290;34.975;79.9;207839232;48.3;391141.52
1593929065377;29.3;77.5;212103168;48.4;19760373.97
1593929067567;27.85;73.9;216436736;48.5;7322394.24
1593929069697;37.675;74.9;211300352;48.5;805467.9
1593929071652;32.8;69.7;212066304;48.6;561886.4
1593929073717;28.025;76.4;212774912;48.6;9036248.63
1593929075720;29.875;71.7;214220800;48.7;16292130.82
1593929077797;32.15;79.8;213913600;48.6;580519.41
1593929079703;34.0;73.5;221306880;48.9;2293895.34
1593929081672;36.925;74.4;224681984;49.1;19166143.35
1593929083802;31.2;72.5;231383040;49.2;730496.09
1593929085855;35.3;72.2;216436736;49.2;741931.77
1593929087920;34.1;74.7;217780224;49.4;780978.82
1593929090106;31.6;73.5;217530368;49.4;8305894.43
1593929092165;33.35;70.7;217726976;49.6;12978504.96
1593929094339;31.475;74.4;219127808;49.7;495960.51
1593929096277;31.05;73.3;221134848;50.0;840086.15
1593929098266;28.75;77.7;225312768;50.1;24275283.91
1593929100334;33.275;74.8;230187008;49.6;2843960.05
1593929102508;28.6;75.6;235675648;49.6;831185.2
1593929104635;32.35;76.7;241246208;49.8;5309566.47
1593929106728;32.65;77.1;224161792;49.6;277950.14
1593929108631;34.025;75.9;225316864;49.7;12810682.39
1593929110722;30.075;75.0;226205696;49.6;364578.93
1593929112712;31.05;74.2;226570240;49.8;735182.39
1593929114938;31.875;72.0;228569088;49.9;19176294.47
1593929117125;34.45;75.4;229695488;49.9;5878610.26
1593929119196;33.65;76.0;230699008;50.0;655921.19
1593929121241;32.825;75.0;233484288;50.2;23211576.71
1593929123418;31.675;74.4;238301184;50.3;5013333.71
1593929125505;32.825;73.7;243851264;50.5;1031511.24
1593929127498;33.05;73.8;249188352;50.8;4781768.8
1593929129541;35.9;73.6;233291776;50.6;6298983.56
