timestamp(ms);elapse-time(ms);tx-load
2354;299;3
2624;549;4
2652;436;3
3126;507;1
3742;1096;7
3759;825;6
3884;882;7
3892;908;7
4039;637;7
4411;658;7
4601;726;7
5072;1168;9
5114;1087;9
5334;1145;10
5454;1217;11
5467;1245;12
5648;1056;12
5890;1152;14
6165;1064;15
6268;945;13
6414;972;14
6663;1187;15
6686;1044;13
6827;962;11
7005;957;12
7043;985;12
7372;1111;13
7530;1125;13
7791;1113;12
7977;1156;12
8169;1186;12
8355;1289;13
8382;1024;12
8570;1061;12
8776;1090;12
8807;1112;13
9004;1039;12
9222;1063;13
9530;1151;13
9685;1126;12
9875;1110;12
10217;1392;13
10256;1266;12
10437;1234;12
10600;1206;13
10620;1217;13
10862;1191;13
11008;1145;12
11408;1163;16
11577;1162;15
11704;1111;14
12008;1363;14
12026;1170;13
12163;1169;12
12317;1131;12
12328;1131;12
12508;942;12
12715;1017;12
13077;1056;15
13286;1134;14
13492;1183;11
13771;1422;13
13788;1291;12
13941;1248;13
14115;1228;13
14132;1234;13
14302;1027;12
14422;942;11
14792;1009;13
14996;1067;16
15177;1076;15
15526;1381;12
15544;1255;12
15709;1300;13
15831;1221;12
15841;1220;12
16019;1044;12
16188;1025;11
16471;933;10
16671;965;12
16961;1138;13
17559;1705;12
17584;1577;12
17748;1573;11
17961;1627;14
17978;1633;14
18169;1526;13
18306;1368;13
18615;1036;13
18808;1075;15
18994;1037;16
19335;1349;16
19366;1211;15
19565;1266;17
19764;1299;13
19787;1311;14
19963;1170;13
20141;1163;13
20424;1066;15
20608;1060;13
20757;1022;14
21052;1256;15
21082;1140;13
21292;1164;13
21465;1157;12
21483;1168;13
21668;1081;11
21872;1123;12
22244;1168;13
22426;1150;14
22623;1170;13
22936;1435;13
22956;1299;13
23105;1258;12
23298;1252;13
23315;1247;13
23488;1070;12
23713;1112;13
24061;1113;15
24221;1128;16
24397;1114;14
24686;1350;11
24710;1230;11
24855;1179;10
25006;1138;11
25019;1142;11
25185;976;10
25505;1122;11
26049;1349;13
26264;1418;11
26408;1410;11
26734;1707;13
26763;1597;12
26890;1420;12
27031;1233;12
27041;1228;12
27343;1103;13
27482;1093;12
27835;1087;14
28159;1274;17
28380;1357;13
28584;1534;13
28606;1288;11
28771;1298;12
28919;1287;13
28940;1296;12
29078;966;11
29316;960;12
29690;1091;14
29906;1155;14
30109;1200;11
30521;1572;13
30539;1472;13
30672;1364;13
30809;1338;13
30821;1334;13
30964;1072;12
31082;985;11
31423;891;12
31601;939;13
31795;996;16
32126;1295;12
32159;1203;11
32410;1339;12
32603;1346;11
32615;1352;11
32777;1189;11
32930;1147;10
