timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;166.92;46.9;0.31
1651;0;0.0;29.2;166.92;47.0;1.81
3385;4;19.82;62.9;175.89;47.1;3.43
5116;10;41.0;74.4;184.34;47.3;7.94
7051;16;31.05;86.5;198.65;47.5;3.85
9219;19;29.52;75.3;199.48;47.5;9.58
11369;18;36.6;81.9;202.13;47.6;0.27
13404;19;31.15;75.0;202.54;47.8;11.28
15429;17;31.15;76.9;204.55;47.9;0.79
17548;13;35.55;77.7;207.24;48.0;0.46
19609;15;36.38;73.9;206.59;48.1;0.34
21751;22;30.65;75.2;207.04;48.3;0.4
23978;18;34.98;79.9;207.84;48.3;0.39
26065;18;29.3;77.5;212.1;48.4;19.76
28255;16;27.85;73.9;216.44;48.5;7.32
30385;20;37.67;74.9;211.3;48.5;0.81
32340;15;32.8;69.7;212.07;48.6;0.56
34405;15;28.02;76.4;212.77;48.6;9.04
36408;17;29.88;71.7;214.22;48.7;16.29
38485;17;32.15;79.8;213.91;48.6;0.58
40391;19;34.0;73.5;221.31;48.9;2.29
42360;14;36.92;74.4;224.68;49.1;19.17
44490;18;31.2;72.5;231.38;49.2;0.73
46543;18;35.3;72.2;216.44;49.2;0.74
48608;17;34.1;74.7;217.78;49.4;0.78
50794;19;31.6;73.5;217.53;49.4;8.31
52853;18;33.35;70.7;217.73;49.6;12.98
55027;17;31.48;74.4;219.13;49.7;0.5
56965;18;31.05;73.3;221.13;50.0;0.84
58954;18;28.75;77.7;225.31;50.1;24.28
61022;18;33.27;74.8;230.19;49.6;2.84
63196;14;28.6;75.6;235.68;49.6;0.83
65323;20;32.35;76.7;241.25;49.8;5.31
67416;17;32.65;77.1;224.16;49.6;0.28
69319;18;34.02;75.9;225.32;49.7;12.81
71410;18;30.07;75.0;226.21;49.6;0.36
73400;17;31.05;74.2;226.57;49.8;0.74
75626;18;31.88;72.0;228.57;49.9;19.18
77813;18;34.45;75.4;229.7;49.9;5.88
79884;19;33.65;76.0;230.7;50.0;0.66
81929;18;32.83;75.0;233.48;50.2;23.21
84106;15;31.68;74.4;238.3;50.3;5.01
86193;16;32.83;73.7;243.85;50.5;1.03
88186;18;33.05;73.8;249.19;50.8;4.78
90229;19;35.9;73.6;233.29;50.6;6.3
92142;17;31.35;73.0;231.59;50.7;9.48
94207;16;33.52;75.7;231.31;50.8;0.91
96383;17;32.67;75.0;233.51;51.0;0.54
98417;18;35.77;77.6;235.29;51.1;20.22
100570;18;33.15;76.1;236.61;51.2;0.38
102635;18;31.43;75.6;236.91;51.4;0.85
104642;14;36.52;75.6;238.8;51.5;3.04
106708;16;30.27;68.7;239.86;51.6;0.71
108858;18;34.33;75.5;230.99;51.1;8.28
110988;17;33.83;78.2;230.01;51.0;0.63
113128;19;33.92;73.1;232.13;51.1;0.59
115225;19;33.15;76.1;232.43;51.3;14.78
117371;15;31.38;72.9;232.37;51.3;6.7
119478;17;33.7;73.5;235.24;51.4;12.2
121498;18;32.75;71.7;236.18;51.6;8.25
123543;17;32.45;70.3;237.03;51.6;0.77
125628;16;33.27;74.4;238.6;51.7;1.03
127760;20;35.4;72.8;231.41;51.8;4.8
130033;18;33.45;70.6;231.62;51.7;6.31
131998;19;35.12;67.7;232.52;51.9;21.97
134003;15;32.8;73.1;232.76;51.8;0.53
136070;15;34.02;80.0;233.71;51.8;10.58
138166;16;35.45;73.2;234.85;51.9;12.88
140387;17;27.27;73.8;235.92;52.0;7.28
142542;17;35.88;76.4;237.63;52.0;21.35
144715;19;27.88;70.3;238.33;52.0;0.78
146853;16;36.7;72.8;232.55;52.1;12.8
149016;16;32.23;75.5;233.37;52.1;3.0
151320;19;29.23;71.2;233.71;52.2;0.91
153368;20;33.58;77.1;236.19;52.4;0.57
155412;17;33.02;75.3;236.78;52.7;9.22
157352;16;30.65;77.0;237.59;52.8;0.57
159742;18;34.48;73.4;238.69;52.9;24.14
161858;17;36.3;78.0;231.48;52.7;7.31
164044;17;33.38;72.4;230.76;52.8;0.53
166119;18;33.65;74.3;232.48;52.9;9.59
168175;14;32.05;74.9;232.82;52.9;0.52
170256;16;29.3;75.2;233.92;53.1;8.95
172367;18;35.0;69.4;235.43;53.2;0.84
174500;20;38.42;74.0;236.54;53.2;11.01
176701;20;32.62;73.2;237.64;53.3;17.74
178786;17;32.65;68.4;239.95;53.3;0.86
180967;18;40.1;72.3;232.05;53.5;1.06
183178;20;33.62;72.4;232.43;53.5;13.87
185215;17;30.4;70.8;233.73;53.4;0.85
187450;18;32.88;72.8;234.12;53.5;0.97
189637;21;36.77;73.2;235.77;53.6;0.81
191900;18;34.15;73.2;236.79;53.7;6.27
194022;15;34.0;73.1;237.9;53.6;0.67
196115;24;35.25;68.2;239.32;53.9;15.6
198226;17;33.52;71.3;234.82;53.9;8.64
200370;17;37.77;71.9;236.19;54.0;0.7
202476;18;33.9;73.3;236.41;54.1;6.07
204957;19;29.55;66.6;236.23;54.3;0.84
207000;22;34.62;70.9;234.89;54.3;28.23
209075;16;33.65;70.2;237.76;54.4;1.01
211123;19;33.98;69.5;239.19;54.5;1.16
213382;19;32.4;69.0;240.39;54.6;1.05
215630;19;36.45;70.2;231.32;54.4;0.53
217858;20;36.1;70.0;231.65;54.5;22.09
219953;18;33.2;66.9;232.34;54.6;0.66
222376;19;34.2;69.1;234.25;54.7;0.85
224547;21;36.88;73.0;234.9;54.9;16.89
226736;17;36.42;73.5;236.64;54.8;4.5
228995;17;35.85;73.0;237.29;55.0;10.38
231142;19;37.58;71.9;238.64;55.1;0.58
233696;18;30.65;67.8;232.3;55.0;6.59
235961;25;33.62;70.2;232.47;55.1;1.1
238007;20;38.75;69.7;233.89;55.2;10.69
240059;18;29.77;70.4;233.6;55.3;1.74
242245;21;35.55;75.4;235.43;55.5;2.5
244535;19;33.73;74.3;236.38;55.8;0.64
246774;19;31.77;66.9;240.02;55.8;5.19
248896;20;36.23;71.3;240.35;55.7;22.15
251183;17;32.88;67.7;232.15;55.8;0.52
253355;18;37.77;72.4;233.44;56.0;8.12
255529;20;34.7;70.2;234.61;56.0;0.33
257693;19;30.75;68.1;234.74;56.1;3.05
259797;22;37.12;69.7;236.7;56.1;21.45
262012;18;32.75;73.6;238.52;56.2;0.48
264138;18;35.85;71.1;239.78;56.2;1.32
266235;20;33.77;72.8;241.14;56.4;6.27
268889;20;32.05;66.9;245.4;56.5;2.23
271094;20;35.48;69.0;236.85;56.5;24.5
273326;19;35.33;71.3;237.47;56.4;6.8
275476;18;34.42;70.7;237.59;56.5;1.24
277653;18;34.52;64.9;237.74;56.7;3.49
279808;20;32.05;68.3;238.85;56.6;0.45
281947;21;37.23;71.3;240.39;56.7;19.55
284050;20;38.62;69.9;241.58;56.9;0.56
286197;17;36.77;72.1;231.12;56.8;7.71
288392;23;41.42;69.8;233.16;56.8;19.21
290512;17;33.83;70.3;233.45;56.8;0.9
292597;18;38.73;71.9;233.87;57.0;18.63
294693;20;32.77;66.5;232.71;57.1;0.98
296900;18;36.7;73.5;236.06;57.1;1.0
298997;19;37.67;74.9;236.05;57.3;23.35
301084;18;31.35;74.2;238.65;57.3;2.97
303131;18;34.55;82.0;243.71;57.4;10.46
305357;22;33.1;70.4;249.74;57.6;0.48
307740;16;33.0;68.6;254.57;57.6;5.7
309983;19;36.02;70.6;260.3;57.8;18.82
312114;19;33.75;68.1;264.88;57.9;0.98
314270;15;38.95;71.7;242.23;57.7;15.63
316401;21;36.58;73.0;244.02;57.8;25.56
318530;18;34.55;71.7;243.21;57.9;1.14
320648;19;36.77;69.8;244.93;58.0;1.08
322719;20;34.45;71.3;245.9;58.1;5.16
324954;18;33.92;64.9;246.91;58.1;2.72
327077;19;37.33;70.0;248.08;58.2;26.13
329320;20;31.07;69.8;249.09;58.2;12.61
331497;17;35.42;68.9;251.34;58.4;1.09
333642;19;37.58;73.3;252.76;58.5;4.36
335854;19;37.52;69.8;243.25;58.4;0.39
337889;19;36.15;68.5;243.43;58.5;10.88
340012;13;32.73;68.9;242.73;58.5;0.27
342122;19;35.75;73.7;243.45;58.6;11.21
344361;19;36.38;71.9;244.76;58.7;21.39
346639;18;32.0;69.2;244.85;58.6;0.65
348760;20;38.05;69.7;245.55;58.8;19.49
351006;18;36.1;70.9;247.96;58.9;0.65
353334;18;34.4;68.1;248.78;59.0;0.65
355509;20;33.62;69.9;249.93;59.2;13.73
357589;17;33.83;69.9;250.94;59.2;2.48
359763;19;33.27;68.4;256.16;59.4;17.01
361935;19;35.42;68.3;261.57;59.6;0.62
364170;20;36.2;72.3;267.13;59.6;9.14
366329;19;37.33;73.3;271.65;59.7;8.27
368511;17;33.2;70.4;277.42;59.8;0.29
370649;17;33.77;72.8;281.42;60.0;0.76
372841;19;33.02;65.7;287.35;60.2;18.99
374939;21;33.2;69.4;293.92;60.3;13.17
377048;19;32.6;72.1;299.14;60.5;0.96
379198;17;36.42;73.2;304.33;60.7;0.63
381589;20;32.02;64.3;310.32;60.8;0.75
383749;23;38.4;70.1;316.0;61.0;20.47
385923;19;30.93;66.7;320.68;61.1;3.58
388210;19;37.58;75.5;326.86;60.8;9.29
390563;22;39.5;72.8;265.38;60.1;0.78
392622;19;33.73;68.1;265.48;59.9;11.32
394647;20;35.77;72.3;265.74;60.1;20.31
396926;18;33.8;69.8;267.27;60.2;0.81
399102;20;38.75;73.5;267.79;60.3;8.52
401306;21;35.1;70.7;269.21;60.4;5.12
