timestamp(ms);elapse-time(ms);tx-load
2625;201;3
2720;281;4
2732;188;3
2961;243;1
3251;521;6
3269;443;5
3364;517;7
3377;538;7
3512;445;7
3763;503;8
3865;505;10
4107;718;10
4119;625;10
4212;556;10
4297;626;10
4308;643;11
4407;547;10
4512;559;10
4723;609;13
4838;631;13
4946;654;13
5147;833;13
5167;766;13
5272;770;13
5360;758;14
5370;762;14
5456;631;14
5543;601;13
5707;550;15
5789;523;15
5887;531;16
6051;675;15
6065;613;14
6151;612;11
6238;615;12
6247;620;12
6345;561;10
6510;628;10
6700;640;11
6846;701;13
7040;807;12
7238;984;15
7251;915;15
7339;839;15
7426;821;15
7436;823;15
7528;688;14
7616;580;13
7793;548;14
7894;561;15
7973;552;16
8135;689;18
8147;624;17
8243;633;11
8364;667;12
8378;676;12
8487;602;11
8602;633;12
8809;668;14
8920;688;14
9017;662;14
9175;791;14
9189;708;14
9273;679;13
9353;653;13
9363;656;13
9454;543;13
9534;521;12
9699;517;13
9799;532;15
9884;536;15
10091;722;12
10106;656;11
10210;680;13
10301;689;12
10311;691;12
10420;638;12
10525;649;13
10696;595;15
10780;577;14
10868;572;15
11012;693;15
11029;616;14
11122;603;15
11215;600;14
11223;601;15
11335;563;14
11423;559;14
11513;495;13
11590;478;14
11690;484;13
11710;378;12
11821;403;13
11925;341;11
12022;342;10
12118;301;8
12211;290;8
12221;206;8
12318;113;6
12396;81;5
