time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593953313837;0.0;0.0;119681024;67.7;762209.82
1593953315273;0.0;18.0;119681024;67.8;679967.75
1593953316701;11.0;31.2;130056192;67.9;9994844.91
1593953318388;39.575;69.8;159338496;68.0;12049685.81
1593953320054;41.575;69.6;167993344;68.2;31732000.68
1593953321841;31.375;65.6;177897472;67.2;22232374.88
1593953323526;41.225;71.4;169140224;67.1;27757491.55
1593953325158;37.75;67.5;170328064;67.1;4283965.92
1593953326764;36.4;63.5;179249152;67.2;26299342.5
1593953328429;35.975;65.3;188628992;67.4;1827770.49
1593953330095;41.05;70.6;176709632;67.5;36855812.34
1593953331760;31.55;59.6;177369088;67.5;6249969.89
1593953333421;39.875;67.3;178503680;67.7;12841261.6
1593953335054;35.475;62.4;186736640;67.9;26453550.91
1593953336712;36.1;64.5;196554752;68.1;1567007.45
1593953338376;37.975;68.8;208039936;68.3;10401465.86
1593953340137;40.475;65.5;216576000;68.3;1928440.57
1593953341758;36.55;64.1;225558528;68.7;50950264.87
1593953343413;33.25;64.1;191848448;68.3;21641896.51
1593953345068;37.975;69.6;192385024;68.5;11447847.49
1593953346712;36.175;64.9;192548864;68.6;19654485.98
1593953348584;33.125;59.6;193789952;68.5;14215585.47
1593953350238;37.125;62.9;194383872;68.7;2214260.79
1593953351904;37.4;69.4;195956736;68.8;2447347.76
1593953353560;39.125;70.6;202194944;69.1;9918257.44
1593953355504;32.275;57.6;192458752;68.9;11693088.41
1593953357221;42.95;69.7;193015808;68.9;1770463.42
1593953358960;37.95;67.6;193220608;69.1;9815307.05
1593953360565;36.275;64.9;194129920;69.1;11655805.25
1593953362204;34.775;65.2;195940352;69.1;1556659.79
1593953363874;39.25;66.4;197869568;69.3;62879094.21
1593953365548;32.25;63.4;202940416;69.2;16084579.88
1593953367255;41.575;73.2;197222400;68.9;30998010.72
1593953368889;36.55;63.9;196681728;69.0;26734392.07
1593953370570;34.725;65.2;197668864;69.0;2388726.95
1593953372234;38.9;65.8;197816320;69.2;2422558.46
1593953373858;40.625;71.4;199397376;69.3;2737619.17
1593953375485;39.675;68.6;202743808;69.6;1183771.94
1593953377562;29.525;55.3;194424832;69.4;25919109.05
1593953379221;31.6;63.1;195305472;69.4;2191577.67
1593953380884;38.325;65.6;195653632;69.6;5603074.1
1593953382630;35.275;59.7;196747264;69.6;1330939.4
1593953384291;40.325;67.6;196677632;69.6;36680568.3
1593953385966;35.975;63.4;200974336;69.6;47697542.0
1593953387602;32.375;61.5;207663104;69.1;9073727.75
1593953389361;39.725;66.5;200290304;69.1;1383177.41
1593953390988;37.25;60.4;200667136;69.2;19700832.44
1593953392640;33.25;64.2;201789440;69.3;2026032.22
1593953394397;37.85;66.6;201986048;69.3;2290918.65
1593953396045;36.425;62.6;203534336;69.7;2369552.88
1593953397688;38.325;66.1;205029376;69.9;36780661.63
1593953399353;32.25;58.8;206807040;69.8;10048712.26
1593953400980;35.325;64.6;199528448;69.7;30168222.2
1593953402618;39.3;64.4;201707520;69.9;25249807.36
1593953404362;35.35;61.3;202526720;69.9;1206062.01
1593953406011;38.45;62.2;202579968;70.0;2263212.64
1593953407675;39.875;68.3;203735040;70.2;20807056.46
1593953409372;39.225;66.9;205336576;70.4;7551753.68
1593953411269;32.425;60.5;207781888;70.5;23805746.3
1593953412890;35.1;63.2;210587648;70.5;2001852.14
1593953414610;37.95;66.5;203722752;70.7;46323108.58
1593953416249;35.5;64.6;204800000;70.7;1874755.96
1593953417906;39.4;67.4;204521472;70.9;1491163.05
1593953419581;39.725;65.7;205021184;71.2;41607176.33
1593953421264;34.25;63.9;206323712;71.3;12824631.55
1593953422956;38.2;67.2;193376256;71.2;2052996.0
1593953424661;37.05;65.2;195186688;71.3;15596611.52
1593953426303;39.75;63.2;193249280;71.5;1371688.82
1593953427898;32.125;55.8;194027520;71.6;31185191.0
1593953429552;42.2;68.4;195678208;71.6;31598388.5
1593953431184;30.05;57.2;198287360;71.9;15966173.23
1593953432865;31.5;59.6;201580544;72.0;8238570.64
1593953434572;35.55;63.4;210022400;72.0;2127330.76
1593953436291;40.9;69.4;199852032;72.2;46278363.85
1593953438116;34.2;60.0;200298496;72.2;2046709.46
1593953439813;34.475;64.7;200593408;72.3;1469748.82
1593953441464;43.4;68.7;201056256;72.6;5517510.43
1593953443023;30.5;61.8;200126464;72.4;12585404.46
1593953444802;35.075;62.2;205602816;72.3;13835798.34
1593953446480;43.45;70.4;200048640;72.3;2338504.48
1593953448116;40.725;66.9;202293248;72.5;61346678.39
1593953449815;31.25;60.8;201572352;72.3;28747534.36
1593953451519;36.0;67.3;202207232;72.2;22981506.16
1593953453171;33.725;59.2;202596352;72.2;25842606.52
1593953454835;33.875;63.1;204374016;72.1;14021367.68
1593953456508;33.875;71.7;206147584;72.2;35212541.82
1593953458197;38.425;64.4;196603904;71.9;19525447.58
1593953459939;31.075;62.5;197701632;71.9;21035165.7
1593953461621;37.275;67.8;200151040;71.9;1166973.62
1593953463323;33.25;64.3;200626176;72.1;24213660.91
1593953465013;38.425;67.3;201900032;72.1;24839441.11
1593953466691;34.1;65.9;203948032;72.0;2449568.53
1593953468396;36.6;65.0;195354624;72.1;24871301.27
1593953470037;39.05;65.8;196976640;72.3;43083682.61
1593953471788;34.15;64.4;197578752;72.1;21571736.97
1593953473464;37.375;67.8;197988352;72.1;33510322.69
1593953475111;35.7;64.3;198909952;72.1;1992935.42
1593953476749;35.725;62.6;200962048;72.2;1859597.31
1593953478596;36.225;61.7;196517888;72.1;1966348.17
1593953480232;37.375;67.5;196923392;72.3;39405867.89
1593953481898;39.75;72.8;197881856;72.4;11641840.98
1593953483802;33.6;60.4;198447104;72.3;11473455.33
1593953485460;39.15;66.1;188731392;72.2;1961426.82
1593953487219;38.625;63.3;190971904;72.3;38150719.3
1593953488865;36.1;62.0;191053824;72.1;1518924.89
1593953490547;37.375;67.8;191049728;72.2;25358418.11
1593953492231;34.475;68.0;193462272;72.0;28317136.78
1593953493923;34.975;60.9;189136896;71.9;2107782.59
1593953495564;40.475;65.2;189358080;72.1;1513736.6
1593953497248;37.975;69.7;189435904;72.2;11910988.77
1593953498981;35.125;66.4;189825024;72.2;16099021.66
1593953500539;32.25;61.9;191717376;72.0;33437412.18
1593953502217;37.85;64.9;190840832;72.0;5343560.34
1593953503922;37.15;66.5;192573440;72.2;22630920.17
1593953505524;31.55;65.1;192868352;72.1;8782252.56
1593953507245;40.9;69.3;193740800;72.1;14343599.28
1593953508913;36.925;65.6;194416640;72.1;25182162.21
1593953510572;39.875;68.2;193859584;72.2;1118180.49
1593953512461;33.875;61.2;194052096;72.2;1612917.8
1593953514236;36.05;61.2;194162688;72.2;34871397.81
1593953515884;39.4;64.6;194166784;72.2;1698539.7
1593953517601;41.125;68.7;194338816;72.3;1374785.67
1593953519296;39.375;69.6;196669440;72.5;48968851.77
1593953520955;37.75;66.3;204578816;72.5;43542768.63
1593953522621;29.9;56.0;211316736;72.4;25578730.47
1593953524295;36.925;67.0;219533312;72.5;1681699.28
1593953525954;35.85;63.7;228204544;72.9;35298911.42
1593953527814;33.4;65.5;235327488;72.9;2042813.0
1593953529478;38.55;68.9;243716096;73.0;27003428.65
1593953531180;39.0;68.0;207958016;72.6;21666460.97
1593953532784;31.15;62.2;209211392;72.5;2173883.09
1593953534513;34.0;68.1;207925248;72.1;3525046.84
1593953536377;31.525;54.3;209661952;72.1;17352891.35
1593953538013;41.175;67.6;210731008;72.1;10931202.18
1593953539998;33.475;61.5;212025344;72.0;1955345.37
1593953541636;40.95;68.4;213557248;72.3;50100092.3
1593953543286;32.4;61.1;214511616;72.3;10820327.68
1593953545013;32.875;56.8;201809920;72.3;18507140.46
1593953546700;33.575;64.1;203485184;72.2;12996579.99
1593953548351;39.6;68.2;204148736;72.2;40634441.34
1593953550077;32.975;58.7;204300288;72.3;1409427.8
1593953551861;40.125;70.0;188116992;72.1;19123709.06
1593953553528;35.075;62.6;188223488;72.2;32430314.55
1593953555168;32.375;59.7;188805120;72.1;1973360.2
1593953556917;33.25;73.2;190988288;72.4;1245703.08
1593953558715;38.25;65.5;191025152;72.5;2331889.73
1593953560444;35.6;68.8;195895296;72.7;5997785.86
1593953562438;31.475;59.2;204046336;72.6;11430660.34
1593953564100;38.325;64.4;193183744;72.5;20999190.5
1593953565786;36.125;60.1;192638976;72.5;15349117.77
