timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;119.68;67.7;0.76
1436;0;0.0;18.0;119.68;67.8;0.68
2864;3;11.0;31.2;130.06;67.9;9.99
4551;17;39.58;69.8;159.34;68.0;12.05
6217;23;41.58;69.6;167.99;68.2;31.73
8004;23;31.38;65.6;177.9;67.2;22.23
9689;25;41.23;71.4;169.14;67.1;27.76
11321;26;37.75;67.5;170.33;67.1;4.28
12927;23;36.4;63.5;179.25;67.2;26.3
14592;25;35.98;65.3;188.63;67.4;1.83
16258;28;41.05;70.6;176.71;67.5;36.86
17923;23;31.55;59.6;177.37;67.5;6.25
19584;22;39.88;67.3;178.5;67.7;12.84
21217;23;35.48;62.4;186.74;67.9;26.45
22875;27;36.1;64.5;196.55;68.1;1.57
24539;26;37.98;68.8;208.04;68.3;10.4
26300;25;40.48;65.5;216.58;68.3;1.93
27921;26;36.55;64.1;225.56;68.7;50.95
29576;21;33.25;64.1;191.85;68.3;21.64
31231;29;37.98;69.6;192.39;68.5;11.45
32875;26;36.17;64.9;192.55;68.6;19.65
34747;26;33.12;59.6;193.79;68.5;14.22
36401;25;37.12;62.9;194.38;68.7;2.21
38067;26;37.4;69.4;195.96;68.8;2.45
39723;25;39.12;70.6;202.19;69.1;9.92
41667;23;32.27;57.6;192.46;68.9;11.69
43384;23;42.95;69.7;193.02;68.9;1.77
45123;26;37.95;67.6;193.22;69.1;9.82
46728;26;36.27;64.9;194.13;69.1;11.66
48367;27;34.77;65.2;195.94;69.1;1.56
50037;27;39.25;66.4;197.87;69.3;62.88
51711;22;32.25;63.4;202.94;69.2;16.08
53418;22;41.58;73.2;197.22;68.9;31.0
55052;26;36.55;63.9;196.68;69.0;26.73
56733;25;34.73;65.2;197.67;69.0;2.39
58397;24;38.9;65.8;197.82;69.2;2.42
60021;26;40.62;71.4;199.4;69.3;2.74
61648;23;39.67;68.6;202.74;69.6;1.18
63725;24;29.52;55.3;194.42;69.4;25.92
65384;31;31.6;63.1;195.31;69.4;2.19
67047;24;38.33;65.6;195.65;69.6;5.6
68793;27;35.27;59.7;196.75;69.6;1.33
70454;27;40.33;67.6;196.68;69.6;36.68
72129;25;35.98;63.4;200.97;69.6;47.7
73765;22;32.38;61.5;207.66;69.1;9.07
75524;21;39.73;66.5;200.29;69.1;1.38
77151;25;37.25;60.4;200.67;69.2;19.7
78803;23;33.25;64.2;201.79;69.3;2.03
80560;30;37.85;66.6;201.99;69.3;2.29
82208;27;36.42;62.6;203.53;69.7;2.37
83851;23;38.33;66.1;205.03;69.9;36.78
85516;22;32.25;58.8;206.81;69.8;10.05
87143;26;35.33;64.6;199.53;69.7;30.17
88781;22;39.3;64.4;201.71;69.9;25.25
90525;23;35.35;61.3;202.53;69.9;1.21
92174;22;38.45;62.2;202.58;70.0;2.26
93838;27;39.88;68.3;203.74;70.2;20.81
95535;26;39.23;66.9;205.34;70.4;7.55
97432;27;32.42;60.5;207.78;70.5;23.81
99053;26;35.1;63.2;210.59;70.5;2.0
100773;23;37.95;66.5;203.72;70.7;46.32
102412;22;35.5;64.6;204.8;70.7;1.87
104069;27;39.4;67.4;204.52;70.9;1.49
105744;27;39.73;65.7;205.02;71.2;41.61
107427;26;34.25;63.9;206.32;71.3;12.82
109119;26;38.2;67.2;193.38;71.2;2.05
110824;23;37.05;65.2;195.19;71.3;15.6
112466;24;39.75;63.2;193.25;71.5;1.37
114061;22;32.12;55.8;194.03;71.6;31.19
115715;29;42.2;68.4;195.68;71.6;31.6
117347;23;30.05;57.2;198.29;71.9;15.97
119028;23;31.5;59.6;201.58;72.0;8.24
120735;24;35.55;63.4;210.02;72.0;2.13
122454;28;40.9;69.4;199.85;72.2;46.28
124279;26;34.2;60.0;200.3;72.2;2.05
125976;22;34.48;64.7;200.59;72.3;1.47
127627;27;43.4;68.7;201.06;72.6;5.52
129186;22;30.5;61.8;200.13;72.4;12.59
130965;29;35.08;62.2;205.6;72.3;13.84
132643;24;43.45;70.4;200.05;72.3;2.34
134279;26;40.73;66.9;202.29;72.5;61.35
135978;25;31.25;60.8;201.57;72.3;28.75
137682;22;36.0;67.3;202.21;72.2;22.98
139334;22;33.73;59.2;202.6;72.2;25.84
140998;24;33.88;63.1;204.37;72.1;14.02
142671;25;33.88;71.7;206.15;72.2;35.21
144360;21;38.42;64.4;196.6;71.9;19.53
146102;22;31.07;62.5;197.7;71.9;21.04
147784;24;37.27;67.8;200.15;71.9;1.17
149486;26;33.25;64.3;200.63;72.1;24.21
151176;23;38.42;67.3;201.9;72.1;24.84
152854;27;34.1;65.9;203.95;72.0;2.45
154559;29;36.6;65.0;195.35;72.1;24.87
156200;25;39.05;65.8;196.98;72.3;43.08
157951;24;34.15;64.4;197.58;72.1;21.57
159627;20;37.38;67.8;197.99;72.1;33.51
161274;25;35.7;64.3;198.91;72.1;1.99
162912;25;35.73;62.6;200.96;72.2;1.86
164759;26;36.23;61.7;196.52;72.1;1.97
166395;25;37.38;67.5;196.92;72.3;39.41
168061;24;39.75;72.8;197.88;72.4;11.64
169965;23;33.6;60.4;198.45;72.3;11.47
171623;27;39.15;66.1;188.73;72.2;1.96
173382;26;38.62;63.3;190.97;72.3;38.15
175028;21;36.1;62.0;191.05;72.1;1.52
176710;25;37.38;67.8;191.05;72.2;25.36
178394;24;34.48;68.0;193.46;72.0;28.32
180086;27;34.98;60.9;189.14;71.9;2.11
181727;23;40.48;65.2;189.36;72.1;1.51
183411;23;37.98;69.7;189.44;72.2;11.91
185144;26;35.12;66.4;189.83;72.2;16.1
186702;22;32.25;61.9;191.72;72.0;33.44
188380;27;37.85;64.9;190.84;72.0;5.34
190085;22;37.15;66.5;192.57;72.2;22.63
191687;24;31.55;65.1;192.87;72.1;8.78
193408;26;40.9;69.3;193.74;72.1;14.34
195076;24;36.92;65.6;194.42;72.1;25.18
196735;23;39.88;68.2;193.86;72.2;1.12
198624;25;33.88;61.2;194.05;72.2;1.61
200399;26;36.05;61.2;194.16;72.2;34.87
202047;22;39.4;64.6;194.17;72.2;1.7
203764;24;41.12;68.7;194.34;72.3;1.37
205459;27;39.38;69.6;196.67;72.5;48.97
207118;23;37.75;66.3;204.58;72.5;43.54
208784;24;29.9;56.0;211.32;72.4;25.58
210458;22;36.92;67.0;219.53;72.5;1.68
212117;27;35.85;63.7;228.2;72.9;35.3
213977;26;33.4;65.5;235.33;72.9;2.04
215641;23;38.55;68.9;243.72;73.0;27.0
217343;25;39.0;68.0;207.96;72.6;21.67
218947;24;31.15;62.2;209.21;72.5;2.17
