timestamp(ms);elapse-time(ms);tx-load
2684;264;3
2804;371;4
2817;245;3
3075;273;1
3422;608;7
3435;473;6
3537;555;7
3543;570;7
3641;456;7
3828;400;9
3921;388;8
4169;617;9
4178;538;9
4269;541;8
4359;620;9
4366;634;9
4469;552;10
4590;580;10
4811;637;12
4909;644;13
5009;655;12
5203;832;13
5215;749;13
5313;735;13
5400;698;15
5406;699;15
5502;598;14
5588;581;14
5746;535;13
5823;515;13
5916;521;14
6065;653;14
6074;577;13
6159;574;11
6434;772;12
6445;779;12
6589;770;13
6684;772;13
6870;797;14
6972;815;14
7048;618;14
7199;740;16
7211;626;14
7333;652;15
7433;660;14
7441;661;14
7547;579;13
7636;592;15
7794;587;13
7878;550;13
7966;536;13
8161;712;13
8171;628;12
8282;650;12
8382;667;12
8392;673;12
8545;670;13
8645;684;15
8794;627;16
8871;597;14
8958;582;14
9102;684;14
9112;572;13
9189;551;14
9274;553;14
9281;557;14
9383;516;13
9468;514;11
9617;509;13
9702;517;13
9816;546;13
9998;712;12
10007;631;11
10105;641;12
10196;650;12
10203;654;12
10312;612;13
10410;599;13
10587;584;16
10679;579;15
10755;564;14
10891;680;12
10900;592;12
10981;575;11
11057;567;10
11063;565;10
11158;483;11
11245;494;11
11629;733;12
11727;751;11
11817;764;11
12004;934;16
12014;860;15
12107;876;16
12186;644;15
12193;646;15
12278;557;15
12358;543;16
12510;500;14
12589;488;15
12663;481;16
12805;608;17
12814;541;17
12898;545;12
13020;589;12
13031;595;12
13136;551;11
13235;574;10
13422;612;11
13518;625;13
13597;599;13
13874;838;13
13885;755;13
13967;738;13
14047;721;14
14054;723;14
14141;631;14
14217;622;12
14375;496;13
14458;495;14
14543;501;15
14748;689;15
14760;625;14
14859;646;12
14952;651;12
14965;660;11
15064;609;10
15172;633;13
15387;631;14
15474;620;15
15550;600;14
15706;732;14
15715;656;13
15801;633;13
15880;622;13
15887;623;13
15970;499;13
16060;515;12
16200;489;12
16300;500;13
16434;558;13
16665;774;13
16675;709;13
16775;717;12
16874;743;11
16880;745;11
16959;663;11
17043;615;10
17200;529;10
17285;515;12
17363;492;13
17731;844;11
17745;789;11
17836;797;11
17930;807;12
17943;812;12
18081;801;14
18174;815;16
18376;638;16
18478;646;17
18576;651;16
18710;755;17
18719;649;16
18797;628;15
18881;603;15
18888;602;14
18973;501;14
19053;481;14
19206;491;14
19294;501;15
19374;497;14
19519;627;11
19528;561;11
19640;592;11
19750;623;11
19756;625;11
19864;574;11
19953;585;10
20154;630;13
20345;711;15
20426;686;13
20576;811;13
20585;726;13
20669;720;13
20748;710;15
20754;711;15
20839;497;12
20914;492;12
21055;473;14
21130;465;13
21215;471;15
21410;652;11
21420;586;11
21551;642;12
21656;677;13
21661;678;13
21761;635;12
21853;641;12
22005;589;13
22088;541;11
22175;524;13
22321;655;14
22331;575;14
22549;701;13
22637;706;11
22643;709;11
22734;650;10
22813;643;12
23022;693;14
23151;605;14
23242;612;15
23415;767;14
23426;697;14
23516;708;15
23592;689;15
23598;686;15
23682;540;15
23761;524;13
23902;482;14
23978;466;15
24056;469;16
24197;595;15
24206;528;15
24298;543;10
24379;547;11
24385;550;10
24470;495;9
24558;507;10
24881;678;13
24972;678;11
25057;682;12
25223;831;15
25234;769;13
25321;766;15
25395;612;13
25400;611;13
25483;516;13
25562;511;14
25712;484;14
25791;475;15
25871;481;16
26044;639;12
26052;573;11
26137;579;12
26218;581;12
26226;584;12
26323;536;11
26446;580;12
26628;579;13
26715;583;14
26796;584;14
26970;740;14
26982;664;14
27058;621;13
27134;597;13
27140;599;14
27221;510;12
27302;509;13
27443;466;13
27519;466;15
27596;465;16
27737;593;11
27747;530;11
27827;530;11
27910;537;11
27916;540;11
28026;512;11
28135;544;10
28332;588;10
28425;602;10
28521;616;10
28904;982;15
28913;892;15
28994;867;14
29067;847;14
29074;849;14
29158;736;12
29236;721;13
29387;479;12
29458;468;13
29583;520;15
29786;706;19
29797;644;18
29900;670;12
29995;677;13
30003;682;13
30115;661;13
30213;635;15
30371;579;16
30449;557;15
30521;530;15
30661;652;16
30670;560;16
30750;541;14
30826;535;14
30831;537;14
30914;469;13
30986;469;12
31141;475;12
31228;482;13
