time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952981457;0.0;0.0;215130112;66.7;553017.46
1593952982960;0.0;16.8;215130112;66.9;892600.33
1593952984404;13.6;36.3;193187840;66.6;20153955.42
1593952986072;32.95;65.2;190844928;66.7;18111463.09
1593952987782;36.0;68.0;209846272;67.2;10775854.85
1593952989507;33.55;68.2;210145280;67.3;9639117.67
1593952991180;33.875;69.5;210960384;67.5;32942536.87
1593952992854;31.075;63.4;211980288;67.4;1841208.3
1593952994538;33.8;68.9;213291008;67.6;32373133.47
1593952996259;32.275;60.7;214888448;67.8;1404809.72
1593952997994;39.2;73.4;202506240;68.0;5668767.98
1593952999669;36.45;72.0;202293248;68.1;21470633.82
1593953001404;37.4;67.3;203190272;68.4;10575261.96
1593953003102;38.975;65.7;203997184;68.6;22591612.22
1593953004784;31.1;63.6;205099008;68.5;1728407.48
1593953006435;36.3;66.9;203788288;68.7;8792114.47
1593953008267;33.55;63.5;207663104;68.9;27791193.7
1593953009954;31.5;62.9;210690048;68.9;1449668.26
1593953011668;34.775;66.9;219222016;69.2;2098839.19
1593953013389;36.35;66.9;228237312;69.2;54670470.27
1593953015091;30.975;62.8;207114240;68.9;9686377.75
1593953016866;36.625;66.0;208691200;69.2;40201086.23
1593953018541;31.55;61.5;209018880;69.3;27297636.58
1593953020280;31.775;65.0;210776064;69.4;18356036.2
1593953021996;37.05;68.9;211869696;69.6;4118215.84
1593953023663;38.775;70.3;213647360;69.7;47651383.33
1593953025368;28.9;64.3;215285760;69.2;22809007.59
1593953027116;33.475;69.2;217116672;69.5;9369882.31
1593953028882;40.475;72.9;202694656;69.5;11411344.17
1593953030526;34.525;64.3;202866688;69.6;2026153.56
1593953032201;36.675;70.2;203816960;69.8;2047972.14
1593953033897;34.875;70.1;204267520;70.0;2198954.98
1593953035602;34.625;64.6;205832192;70.4;47793013.74
1593953037323;28.65;61.1;207364096;70.4;19750766.45
1593953039109;38.8;70.9;197578752;70.3;15240959.07
1593953040832;31.825;64.4;197910528;70.4;21592031.37
1593953042534;32.1;66.5;197931008;70.5;1591993.13
1593953044286;36.05;68.3;198107136;70.7;2218826.06
1593953046038;37.725;68.6;200019968;70.7;34355650.47
1593953047746;37.4;64.6;193773568;70.9;5599080.44
1593953049357;31.55;69.6;193990656;70.9;1515324.07
1593953051186;33.975;67.8;195092480;71.2;37798850.01
1593953052880;32.575;63.4;195375104;71.2;4509029.79
1593953054711;32.7;68.3;193413120;70.7;2320583.5
1593953056407;37.275;72.6;195923968;70.9;1203480.49
1593953058085;37.25;68.4;205643776;71.3;39478385.21
1593953059764;25.7;58.4;212357120;71.3;20156318.26
1593953061473;36.7;69.3;220053504;71.6;2836911.87
1593953063334;36.675;64.5;203579392;71.6;36308396.03
1593953065047;35.325;71.7;203018240;71.0;1952868.06
1593953066744;38.775;70.2;204648448;71.2;2111851.84
1593953068422;35.5;66.1;205197312;71.4;1229135.55
1593953070128;35.55;64.5;205815808;71.6;10599331.52
1593953072284;29.9;58.9;207527936;71.5;1807639.95
1593953074053;40.125;75.4;209711104;71.8;24691823.08
1593953075799;34.7;64.8;197132288;71.7;9222185.93
1593953077476;33.775;68.6;198754304;71.5;2644893.82
1593953079197;41.15;72.0;199102464;71.6;32876391.97
1593953080936;32.2;66.2;199815168;71.7;5989159.27
1593953082522;9.325;33.9;200138752;71.4;294819.22
