timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;215.13;66.7;0.55
1503;0;0.0;16.8;215.13;66.9;0.89
2947;4;13.6;36.3;193.19;66.6;20.15
4615;17;32.95;65.2;190.84;66.7;18.11
6325;24;36.0;68.0;209.85;67.2;10.78
8050;27;33.55;68.2;210.15;67.3;9.64
9723;24;33.88;69.5;210.96;67.5;32.94
11397;27;31.07;63.4;211.98;67.4;1.84
13081;24;33.8;68.9;213.29;67.6;32.37
14802;23;32.27;60.7;214.89;67.8;1.4
16537;27;39.2;73.4;202.51;68.0;5.67
18212;21;36.45;72.0;202.29;68.1;21.47
19947;27;37.4;67.3;203.19;68.4;10.58
21645;27;38.98;65.7;204.0;68.6;22.59
23327;20;31.1;63.6;205.1;68.5;1.73
24978;29;36.3;66.9;203.79;68.7;8.79
26810;26;33.55;63.5;207.66;68.9;27.79
28497;26;31.5;62.9;210.69;68.9;1.45
30211;28;34.77;66.9;219.22;69.2;2.1
31932;26;36.35;66.9;228.24;69.2;54.67
33634;21;30.98;62.8;207.11;68.9;9.69
35409;25;36.62;66.0;208.69;69.2;40.2
37084;25;31.55;61.5;209.02;69.3;27.3
38823;23;31.77;65.0;210.78;69.4;18.36
40539;22;37.05;68.9;211.87;69.6;4.12
42206;24;38.77;70.3;213.65;69.7;47.65
43911;24;28.9;64.3;215.29;69.2;22.81
45659;24;33.48;69.2;217.12;69.5;9.37
47425;23;40.48;72.9;202.69;69.5;11.41
49069;24;34.52;64.3;202.87;69.6;2.03
50744;27;36.67;70.2;203.82;69.8;2.05
52440;26;34.88;70.1;204.27;70.0;2.2
54145;25;34.62;64.6;205.83;70.4;47.79
55866;22;28.65;61.1;207.36;70.4;19.75
57652;24;38.8;70.9;197.58;70.3;15.24
59375;23;31.82;64.4;197.91;70.4;21.59
61077;21;32.1;66.5;197.93;70.5;1.59
62829;25;36.05;68.3;198.11;70.7;2.22
64581;27;37.73;68.6;200.02;70.7;34.36
66289;26;37.4;64.6;193.77;70.9;5.6
67900;21;31.55;69.6;193.99;70.9;1.52
69729;27;33.98;67.8;195.09;71.2;37.8
71423;24;32.58;63.4;195.38;71.2;4.51
73254;29;32.7;68.3;193.41;70.7;2.32
74950;27;37.27;72.6;195.92;70.9;1.2
76628;24;37.25;68.4;205.64;71.3;39.48
78307;20;25.7;58.4;212.36;71.3;20.16
80016;25;36.7;69.3;220.05;71.6;2.84
81877;25;36.67;64.5;203.58;71.6;36.31
83590;20;35.33;71.7;203.02;71.0;1.95
85287;22;38.77;70.2;204.65;71.2;2.11
86965;26;35.5;66.1;205.2;71.4;1.23
88671;26;35.55;64.5;205.82;71.6;10.6
90827;25;29.9;58.9;207.53;71.5;1.81
92596;23;40.12;75.4;209.71;71.8;24.69
94342;20;34.7;64.8;197.13;71.7;9.22
96019;28;33.77;68.6;198.75;71.5;2.64
97740;25;41.15;72.0;199.1;71.6;32.88
99479;26;32.2;66.2;199.82;71.7;5.99
101065;18;9.32;33.9;200.14;71.4;0.29
