timestamp(ms);elapse-time(ms);tx-load
2613;190;3
2695;257;4
2704;180;3
2884;191;1
3210;507;6
3222;436;6
3329;522;7
3336;537;7
3445;468;7
3651;432;10
3732;408;10
3950;606;9
3959;516;9
4039;486;9
4116;546;9
4123;560;9
4213;483;8
4297;485;9
4609;653;12
4719;685;10
4827;715;10
5010;878;13
5022;812;13
5118;825;13
5218;841;16
5226;843;16
5325;619;12
5405;584;13
5662;643;16
5740;626;17
5823;610;17
5959;726;13
5968;648;12
6052;651;12
6131;552;12
6138;554;12
6230;495;12
6319;501;12
6537;572;14
6641;593;14
6740;613;11
6916;771;13
6929;707;12
7026;712;13
7103;699;14
7109;697;14
7222;583;14
7308;573;13
7468;543;15
7558;537;16
7640;541;15
7795;679;16
7804;586;14
7883;576;12
7962;572;12
7968;574;12
8059;505;12
8174;539;11
8356;556;12
8446;567;11
8550;592;10
8852;879;15
8861;810;13
8960;793;14
9049;777;14
9057;779;14
9150;708;13
9229;686;13
9383;525;13
9459;504;15
9543;499;15
9685;623;15
9697;551;15
9806;581;15
9947;644;12
9955;649;12
10056;598;10
10154;616;13
10345;653;14
10421;629;14
10496;555;14
10659;696;11
10668;616;11
10758;610;12
10838;593;11
10843;590;11
10925;509;11
11005;514;11
11367;703;13
11518;764;11
11633;800;12
11809;960;16
11819;900;15
11921;920;17
12010;723;15
12018;726;15
12103;610;14
12184;558;14
12340;525;16
12416;498;16
12508;502;17
12660;635;19
12672;571;18
12761;584;12
12835;572;13
12841;573;13
12928;517;11
13007;515;11
13182;514;13
13291;535;11
13389;558;10
13564;718;10
13576;652;10
13684;682;11
13962;877;14
13969;881;15
14068;780;15
14160;776;15
14319;750;14
14398;716;14
14481;522;13
14651;677;15
14661;598;14
14742;586;15
14832;597;16
14844;605;15
14974;580;13
15079;603;12
15272;616;13
15372;634;14
15468;640;12
15621;763;14
15631;664;14
15714;639;13
15799;624;13
15804;623;13
15888;522;12
15970;506;12
16118;492;12
16199;486;12
16286;492;12
16573;764;11
16597;715;10
16862;896;13
16967;921;15
16973;921;15
17077;882;16
17177;897;17
17331;749;15
17420;564;14
17503;541;15
17650;671;17
17660;587;17
17740;567;17
17820;568;17
17825;567;17
17915;499;15
17996;500;11
18156;501;12
18234;499;13
18360;549;13
18561;728;13
18572;662;12
18670;678;12
18758;682;11
18767;687;11
18874;643;13
18962;606;13
19112;546;15
19201;535;15
19283;532;14
19457;682;14
19467;599;13
19566;608;13
19644;608;13
19650;611;13
19740;544;11
19825;546;10
19992;529;13
20104;542;13
20210;570;14
20393;739;13
20402;668;12
20511;692;13
20603;707;14
20610;710;14
20693;592;13
20773;568;13
20950;551;15
21030;523;16
21113;513;15
21264;649;16
21276;588;15
21351;583;12
21429;556;12
21435;559;13
21526;500;12
21598;489;11
21792;521;10
21899;551;8
21992;567;8
22472;1031;14
22481;960;13
22578;984;13
22676;988;14
22683;992;15
22775;881;14
22864;877;15
23029;551;13
23103;528;14
23176;504;15
23336;646;17
23348;578;17
23468;608;16
23584;632;12
23668;711;13
23770;672;13
23853;681;15
24017;674;15
24095;631;14
24174;596;14
24317;643;15
24327;565;14
24414;567;14
24494;553;14
24506;562;14
24597;505;13
24677;509;13
24825;502;13
24907;499;11
25003;514;10
25205;693;10
25216;623;10
25319;647;11
25582;832;13
25592;839;14
25700;798;15
25790;793;16
25941;730;15
26014;700;14
26094;516;14
26241;642;16
26253;557;15
26346;561;16
26426;563;16
26432;564;15
26523;513;14
26601;512;13
26742;494;13
26831;488;12
26937;516;13
27114;678;11
27124;605;11
27218;621;11
27312;637;11
27323;644;10
27427;601;11
27514;583;10
27690;571;13
27907;695;14
27994;687;12
28148;819;13
28159;735;12
28251;744;13
28334;733;12
28340;735;12
28432;529;12
28524;535;12
28752;596;15
28846;599;16
28936;609;15
29115;770;13
29124;696;13
29217;696;13
29288;636;14
29295;638;15
29388;547;14
29472;540;14
29630;510;15
29708;495;16
29785;501;17
29917;613;14
29925;541;13
30006;539;12
30080;524;11
30086;527;11
30166;462;10
30270;490;11
30532;610;13
30638;636;11
30738;662;11
30912;822;13
30921;759;13
31004;739;14
31078;678;15
31084;674;15
31174;541;12
31251;519;14
31405;488;13
31482;482;15
31572;498;16
31736;647;12
31745;576;11
31822;575;11
31897;570;11
31904;573;11
32023;546;11
32142;575;12
32329;586;11
32419;600;10
32519;627;8
32678;768;11
32689;677;10
32770;633;10
33152;923;13
33159;924;13
33258;841;13
33383;869;14
33538;853;14
33621;856;14
33716;570;13
33917;751;16
33928;676;16
34022;643;16
34108;650;14
34114;653;14
34214;598;14
34315;606;12
34511;588;15
34601;584;16
34684;581;14
34840;720;13
34850;643;13
34938;629;12
35017;617;13
35023;618;13
35103;506;12
35185;505;11
35337;491;12
35428;495;13
