time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(%);memory-usage-total(%);disk-io-utilization(B/s)
1591807389722;39.95;59.2;246554624;76.6;1354854.02
1591807391592;39.275;57.8;246759424;76.6;22320608.92
1591807393302;37.825;57.0;233902080;76.4;4250539.08
1591807395091;30.0;52.0;235970560;76.3;32669358.77
1591807396878;30.05;47.4;234803200;76.3;34325925.29
1591807398657;30.225;46.6;234926080;76.3;7642093.72
1591807400564;39.175;57.7;236761088;76.4;21912695.4
1591807402380;34.75;55.9;243601408;76.3;1782173.64
1591807404386;35.975;59.7;242049024;76.5;1764598.6
1591807406115;33.2;52.4;242184192;76.6;7358517.36
1591807407900;30.4;48.4;242315264;76.4;13989924.12
1591807409678;36.625;54.2;230567936;76.3;58337774.49
1591807411480;25.2;42.6;230584320;76.2;17552800.15
1591807413299;33.9;50.6;231059456;76.3;11093474.78
1591807415453;35.475;56.7;233349120;76.2;1216560.91
1591807417412;32.3;57.4;232202240;77.3;17634550.91
1591807419218;32.725;50.4;234115072;77.2;1751566.4
1591807421250;36.725;61.9;232697856;77.2;2189166.16
1591807423231;31.925;51.1;235008000;77.3;9772871.38
1591807424981;37.4;57.6;231616512;77.3;2690385.68
1591807426738;37.725;62.7;231747584;76.2;22508583.25
1591807428474;36.525;53.9;231989248;76.1;30644725.51
1591807430262;24.325;43.0;232292352;76.1;11238003.52
1591807431989;41.025;60.1;231428096;76.2;1527871.56
1591807433778;34.7;53.5;233340928;76.2;34371062.29
1591807435557;31.375;49.5;233734144;76.2;1959039.72
1591807437329;36.4;54.5;234291200;76.5;24726899.23
1591807439155;35.2;54.7;239263744;76.8;45185643.2
1591807440976;30.35;54.7;247373824;76.6;8899256.16
1591807442714;38.225;57.2;256135168;76.7;3863216.04
1591807444477;29.275;49.6;241537024;76.6;38376011.79
1591807446261;30.75;50.4;242028544;76.6;9372530.79
1591807448070;38.6;55.7;242233344;76.6;1223970.72
1591807450009;38.375;58.0;240017408;76.8;21018749.22
1591807451820;31.25;51.7;242311168;76.9;8077859.28
1591807453799;38.15;59.1;251416576;77.0;6242523.46
1591807455659;32.675;49.9;259731456;76.9;41037446.14
1591807457451;32.575;52.9;243986432;76.7;6821558.85
1591807459238;39.475;60.7;244113408;76.8;1228115.45
1591807460992;36.3;54.2;244617216;77.1;41992025.65
1591807462795;29.025;48.9;245587968;77.0;8351316.61
1591807464595;37.825;55.9;246009856;77.0;29156559.34
1591807466391;31.95;54.9;252076032;77.1;1953370.68
1591807468366;37.6;57.8;218189824;77.2;29607415.86
1591807470231;33.475;54.0;226410496;76.4;2551846.62
1591807472038;34.85;52.1;234545152;76.5;54580731.53
1591807473827;29.975;46.6;241852416;76.9;25387826.29
1591807475711;35.3;56.1;249712640;76.7;12392108.46
1591807477493;35.95;55.1;213159936;76.5;22426678.04
1591807479333;31.8;50.1;213118976;76.4;1823421.68
1591807481166;39.2;66.1;213327872;76.6;2109069.44
1591807483211;41.25;72.6;213544960;76.7;53520652.08
1591807485069;26.325;47.7;215859200;76.7;1266624.73
1591807486908;38.25;58.9;218693632;76.7;29546092.98
1591807488693;30.125;55.2;220528640;76.8;34021879.2
1591807490452;34.575;52.2;225316864;76.8;1486863.46
1591807492226;37.275;56.5;234598400;77.0;2243492.05
1591807494154;44.5;64.1;214196224;76.7;36137553.35
1591807495912;27.45;45.7;214466560;76.7;1454407.24
1591807497711;36.05;56.8;214712320;76.7;32539901.85
1591807499594;36.075;54.4;215179264;76.7;18190246.65
1591807501381;36.45;55.5;215523328;76.9;9966680.28
1591807503213;34.35;52.1;216707072;76.8;12301084.56
1591807504987;31.85;51.3;218853376;76.7;24821843.45
1591807506722;29.825;46.0;223637504;76.8;1393527.16
1591807508452;36.025;60.2;213987328;76.7;31769106.63
1591807510232;28.425;46.2;214151168;76.8;2428566.02
1591807512396;35.075;58.3;214654976;76.9;1544155.71
1591807514406;32.2;46.5;215453696;76.9;8700955.0
1591807516180;25.975;49.9;216141824;77.6;2726066.01
1591807518241;35.3;55.0;199847936;77.5;21737170.91
1591807520011;27.275;46.1;201199616;77.4;2110145.58
1591807521831;35.4;54.4;202022912;77.6;26920618.77
1591807523663;31.2;48.4;202579968;77.6;24203955.63
1591807525501;33.55;59.8;203022336;76.9;2121056.9
1591807527216;36.425;67.1;203886592;76.7;4534880.58
1591807529232;30.5;48.6;210657280;76.9;9524226.52
1591807531017;31.4;47.6;203337728;76.8;41007106.38
1591807532832;30.7;49.1;203636736;76.8;19870314.89
1591807534620;28.85;46.5;203677696;76.9;6913927.93
1591807536568;35.975;56.1;204230656;77.0;2031044.87
1591807538363;36.8;52.5;198004736;77.0;1318150.24
1591807540607;35.875;53.2;199065600;77.2;1969004.32
1591807542319;30.225;48.4;199237632;77.2;5083800.96
1591807544011;33.425;50.3;199974912;77.3;20753347.76
1591807545783;23.375;42.5;200327168;77.2;1901115.43
1591807547769;35.3;55.8;205303808;77.4;1179167.61
1591807549585;33.875;52.7;213729280;77.2;7630899.76
1591807551281;39.425;57.1;206082048;77.3;1627321.23
1591807553090;31.95;46.7;206303232;77.1;1195649.39
