timestamp(ms);elapse-time(ms);cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;;0.0;25.0;379.95;55.0;0.26
1405;;0.0;11.8;379.95;55.1;0.46
2606;182
2694;258
2707;187
2842;;10.32;34.1;355.27;54.8;20.4
2899;207
3205;500
3215;427
3301;493
3308;508
3412;376
3594;382
3669;371
3878;561
3887;477
3978;471
4064;545
4070;557
4152;485
4232;489
4382;499
4461;488
4538;;37.4;70.2;374.37;55.1;27.83
4550;491
4741;667
4753;605
4848;620
4937;630
4949;638
5044;587
5142;597
5289;540
5501;657
5580;652
5734;778
5744;705
5820;684
5897;682
5903;685
5996;498
6064;489
6216;;34.35;68.0;399.13;55.5;16.02
6221;480
6338;522
6441;547
6604;694
6615;623
6703;642
6794;660
6801;662
6895;565
6969;532
7127;515
7206;507
7283;492
7416;608
7428;539
7499;534
7577;534
7583;535
7667;465
7737;458
7893;470
7896;;37.95;70.8;408.53;55.7;1.55
8018;523
8116;544
8295;707
8306;644
8407;674
8502;692
8509;695
8599;585
8674;564
8818;518
8891;488
8971;474
9111;595
9120;526
9193;525
9266;518
9272;520
9359;471
9436;468
9592;;36.83;70.5;418.91;56.1;43.0
9596;480
9709;520
9828;567
10013;736
10025;672
10115;683
10206;699
10214;701
10298;594
10379;557
10538;518
10618;508
10697;495
11040;819
11049;755
11141;768
11237;781
11245;784
11259;;32.7;66.4;426.02;56.1;1.55
11378;764
11480;787
11655;610
11738;599
11830;600
11993;742
12005;636
12083;608
12160;594
12165;594
12244;512
12313;487
12449;448
12530;452
12609;454
12755;584
12766;526
12843;535
12923;;36.45;68.8;434.76;56.5;23.36
12927;545
12944;558
13066;541
13161;555
13331;571
13435;596
13692;769
13844;891
13856;793
13941;785
14023;779
14034;784
14119;689
14194;506
14333;479
14412;477
14490;471
14570;;32.38;66.9;442.84;56.8;15.48
14678;637
14689;573
14791;602
14882;617
14889;621
15001;593
15094;609
15267;582
15343;556
15420;543
15549;655
15559;565
15638;549
15708;526
15717;528
15827;488
15905;490
16077;521
16157;523
16228;523
16265;;33.8;69.3;451.47;57.2;2.03
16421;700
16434;612
16666;765
16755;755
16767;761
16869;717
16957;732
17118;690
17201;540
17276;524
17416;641
17425;560
17504;553
17587;541
17594;544
17683;488
17772;501
17918;496
18014;514
18081;;33.98;67.2;460.02;57.6;25.1
18101;522
18295;696
18306;628
18407;640
18497;653
18505;657
18604;594
18697;598
18841;540
18921;521
19015;522
19162;651
19172;573
19257;565
19356;584
19361;584
19443;525
19517;508
19665;497
19750;497
19750;;34.42;65.9;468.8;57.9;27.68
19863;511
20049;683
20061;623
20157;644
20244;654
20252;656
20348;602
20428;573
20569;514
20643;491
20833;594
20989;731
20998;655
21073;649
21148;651
21154;654
21241;602
21316;487
21451;;36.7;68.3;477.34;58.2;17.41
21472;478
21586;516
21684;540
21835;674
21846;609
21941;631
22074;691
22081;693
22229;650
22301;621
22472;631
22560;626
22646;579
22787;699
22797;570
22884;588
22965;573
22973;578
23052;496
23133;491
23137;;31.25;63.3;487.66;58.5;29.43
23328;534
23430;550
23531;571
23729;750
23739;692
23825;694
23898;668
23904;668
23992;567
24063;535
24203;469
24276;454
24351;457
24491;582
24500;511
24737;678
24824;693
24829;;35.55;65.9;495.6;58.5;2.31
24832;693
24967;695
25061;713
25248;751
25332;599
25424;605
25566;727
25575;616
25656;599
25736;583
25742;584
25827;497
25906;484
26060;489
26144;493
26224;492
26360;614
26371;546
26447;545
26515;;36.45;73.5;504.24;58.9;49.72
26529;543
26540;550
26662;523
26763;541
26924;559
27022;579
27109;584
27265;717
27274;617
27352;593
27424;582
27431;584
27524;506
27603;499
27747;477
28027;680
28115;694
28231;;31.82;64.4;512.39;59.0;0.78
28271;833
28282;762
28401;803
28489;810
28496;813
28588;566
28674;563
28863;584
28945;554
29018;532
29153;650
29162;577
29238;568
29311;547
29317;547
29402;461
29476;461
29621;463
29699;467
