timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;121.22;46.3;0.11
1518;0;0.0;13.7;121.22;46.4;0.93
3042;4;19.65;38.0;135.03;46.6;13.03
4860;19;39.67;60.6;161.56;47.1;1.23
6628;27;36.05;58.6;172.05;47.3;29.16
8405;27;34.0;54.5;181.85;47.3;12.44
10153;27;38.62;62.1;169.66;47.3;12.17
12032;26;32.08;54.1;172.61;47.5;16.93
13809;25;35.1;56.2;185.62;47.7;13.11
15611;25;33.7;56.2;177.89;47.7;1.29
17395;25;37.05;59.8;176.81;47.9;34.34
19304;20;33.15;70.5;180.21;47.8;1.79
21148;25;41.52;81.8;182.78;48.0;1.38
22993;22;34.33;75.9;191.5;48.2;29.7
24860;22;34.45;69.2;198.1;48.2;6.22
26722;23;39.9;81.2;207.9;48.5;20.92
28621;21;34.02;72.1;214.14;48.5;22.21
30480;26;35.92;72.9;221.44;48.7;1.06
32329;24;38.35;79.9;229.37;49.0;37.15
34257;22;43.33;82.9;193.33;48.5;38.67
36118;24;35.1;73.7;193.47;48.5;9.49
38099;22;35.83;74.3;194.11;48.6;1.38
39985;21;41.67;81.6;193.97;48.7;6.54
42002;23;37.6;76.6;197.73;48.8;22.66
43892;26;41.1;80.4;185.04;48.5;1.7
45784;22;40.3;79.4;187.77;47.8;1.96
47793;22;37.77;76.9;188.04;48.0;1.72
49664;27;42.92;80.1;189.07;48.1;2.29
51645;26;38.3;78.5;191.23;48.3;10.77
53692;24;38.58;77.0;184.17;48.2;1.01
55567;27;37.5;79.1;184.57;48.3;29.67
57457;25;37.6;76.7;185.15;48.4;1.39
59413;27;39.48;77.4;186.59;48.5;1.98
61350;24;39.12;75.9;182.82;48.4;2.99
63211;23;44.1;80.8;185.15;48.6;1.52
65284;25;37.9;73.6;185.48;48.1;23.45
67169;25;33.48;74.8;185.38;48.0;25.8
69016;21;37.7;77.1;188.19;48.1;3.37
70886;22;38.33;81.6;184.64;48.1;2.8
72782;26;38.45;79.5;184.66;48.3;6.58
74872;24;34.7;70.7;186.72;48.4;10.64
76747;21;39.8;80.2;188.06;48.6;7.57
78626;26;37.92;76.6;190.1;48.9;27.3
80508;23;40.7;77.0;186.31;48.8;3.24
82379;24;40.35;81.6;187.86;48.9;1.45
84237;25;36.55;78.0;188.06;49.1;41.3
86122;23;36.77;73.7;188.47;49.0;1.59
88032;22;46.33;84.0;184.0;49.2;16.23
89902;22;38.55;79.1;183.55;49.3;27.96
91738;23;35.48;73.7;184.59;49.4;12.76
93613;21;40.83;78.4;185.64;49.5;21.93
95455;26;37.5;77.9;186.7;49.4;20.22
97324;20;38.12;76.4;183.48;49.3;1.18
99216;22;39.65;78.1;182.62;49.6;1.91
101088;25;39.8;81.1;185.52;49.8;63.81
102960;23;36.25;71.7;187.24;49.8;1.19
104784;22;38.6;77.7;188.38;50.0;4.22
106739;26;36.0;76.9;193.3;50.1;31.7
108639;25;35.23;75.4;200.86;50.3;2.09
110614;22;43.12;81.9;190.99;50.3;1.86
112529;23;36.9;78.0;192.06;50.5;9.45
114601;25;37.02;73.8;192.64;50.3;17.67
116469;25;40.95;77.6;194.11;50.5;1.22
118331;23;43.08;81.0;185.44;50.6;1.52
120348;26;36.83;73.6;184.46;50.7;16.06
122235;27;36.17;76.2;184.74;50.9;1.64
124087;27;40.12;80.8;186.75;51.1;1.72
126155;24;37.33;73.6;189.24;51.4;23.76
128039;24;40.9;80.9;186.63;51.5;25.44
129974;25;35.98;71.5;187.91;51.7;12.44
131836;20;36.67;77.5;187.83;51.7;1.87
133724;22;37.2;79.8;189.82;51.9;20.75
135700;26;36.7;72.0;191.22;51.7;1.5
137596;23;42.35;80.9;188.01;51.8;1.69
139466;23;41.25;82.3;189.47;52.1;49.09
141369;24;37.92;73.1;190.03;52.3;9.97
143278;25;44.67;82.2;191.27;52.4;9.25
145148;22;44.8;80.9;184.89;52.4;14.87
147214;22;33.9;72.4;186.7;52.4;15.19
149065;25;42.4;80.3;187.15;52.6;13.0
150960;24;40.98;80.6;187.21;52.8;32.88
152853;21;36.58;71.8;188.99;52.8;2.1
154728;23;41.45;81.9;187.69;53.0;1.36
156592;23;38.23;80.3;187.77;53.2;31.27
158473;21;37.5;73.5;188.32;53.1;1.73
160358;24;41.95;81.3;188.88;53.5;13.07
162258;23;37.48;78.1;191.2;53.6;23.68
164145;25;35.62;75.5;187.26;53.5;1.26
166040;24;41.6;80.0;189.01;53.7;34.3
167931;24;37.0;80.0;189.19;53.7;30.76
169817;22;41.05;75.9;190.46;54.0;30.72
171694;24;36.58;76.5;191.88;54.0;1.87
173601;22;42.83;83.1;185.23;54.2;3.2
175378;20;36.73;77.5;186.99;54.3;3.01
177279;28;39.55;82.9;187.17;54.4;1.85
179297;24;39.92;79.0;189.56;54.6;34.6
181206;22;39.55;76.2;189.76;54.5;8.88
183064;26;42.02;79.9;194.43;54.8;32.29
184941;23;38.75;75.9;201.74;55.0;17.87
186800;21;38.65;77.1;208.76;55.1;1.57
188601;25;40.75;80.0;215.5;55.3;16.2
190474;24;38.95;79.2;222.74;55.6;32.97
192369;21;37.6;74.3;229.63;55.8;15.29
194280;26;40.38;81.0;200.42;55.6;1.94
196066;23;38.17;75.2;199.53;55.7;26.89
197944;27;38.0;77.6;202.19;55.6;1.72
199800;25;43.85;82.5;203.96;55.9;1.24
201576;21;35.52;77.2;205.05;56.0;28.56
203459;25;34.08;75.4;206.06;56.2;2.06
205342;25;38.75;77.3;208.63;56.4;21.84
207264;22;40.85;82.1;198.5;56.3;32.26
209161;23;37.2;73.4;198.06;56.4;17.9
211072;23;38.0;76.7;198.35;56.5;10.31
212964;22;36.98;79.6;199.38;56.7;2.55
214910;27;35.5;74.4;200.97;56.8;1.89
216831;26;41.05;82.4;202.76;57.0;36.08
218737;22;42.62;82.4;204.21;57.3;11.14
220823;24;36.92;74.1;209.86;57.4;2.55
222706;27;40.83;80.1;217.52;57.8;1.11
224775;25;38.35;76.1;224.79;57.9;13.75
226818;22;36.45;76.6;204.52;57.7;11.08
228683;28;41.17;81.6;204.99;57.8;2.16
230548;26;41.17;83.5;205.62;58.0;2.37
232377;21;35.67;75.9;207.43;58.1;1.15
234266;28;42.55;82.8;209.28;58.4;37.17
236204;25;35.1;72.5;209.85;58.3;1.63
238064;22;40.98;81.0;212.21;58.6;1.93
239976;26;42.48;81.2;213.57;58.7;28.89
241829;26;39.2;79.8;219.89;59.0;1.14
243882;25;35.77;73.3;227.07;58.9;20.01
245959;25;36.1;75.0;235.06;59.2;20.56
247840;20;37.92;79.0;241.74;59.4;11.47
249787;25;39.2;80.7;220.74;59.3;1.95
251750;25;38.8;80.0;213.94;59.5;35.72
253672;20;34.15;73.6;215.27;59.4;2.02
255577;24;42.02;82.6;215.2;59.7;16.76
257610;22;32.7;82.6;211.08;59.7;21.64
259598;23;34.05;82.0;212.5;59.7;7.04
261512;26;41.67;84.8;214.86;60.0;28.86
263599;23;35.83;86.6;215.9;60.7;13.64
265724;26;33.65;86.2;217.19;61.4;12.94
267660;25;40.25;91.2;218.42;61.6;7.04
269643;24;36.4;86.0;223.75;61.9;9.91
271458;24;37.4;76.1;230.22;61.9;25.12
273325;22;31.73;73.3;236.99;62.0;0.82
275207;23;40.2;81.4;244.72;62.2;3.52
277045;24;38.98;87.3;210.35;62.3;24.07
278951;20;38.73;88.8;212.09;61.8;29.03
280847;24;35.12;75.6;212.39;61.9;1.87
282795;23;39.0;79.4;213.48;62.1;9.85
284682;23;39.67;78.9;214.86;62.2;26.63
286602;23;38.4;76.9;216.47;62.2;2.57
288545;22;38.1;81.4;217.51;62.2;18.98
290494;20;38.0;75.6;193.01;62.1;19.71
292383;23;37.4;77.0;193.63;62.2;1.34
294281;22;41.75;82.7;195.21;62.5;14.87
296070;24;33.48;73.0;195.31;62.6;31.33
297970;20;36.98;76.3;195.94;62.7;12.69
299905;23;34.67;76.7;197.59;62.8;4.6
301797;24;44.83;84.6;186.04;62.8;27.94
303638;21;33.48;78.6;187.27;62.0;1.7
305563;25;43.1;83.7;187.24;62.1;2.81
307468;24;40.98;84.0;187.79;62.4;34.22
309371;21;32.17;73.5;188.97;62.4;13.53
311264;25;40.7;79.6;190.12;62.6;27.59
313350;24;37.7;75.4;187.04;62.6;19.51
315224;20;37.3;78.2;187.18;62.8;3.03
317131;25;40.55;81.6;187.4;63.0;1.78
319035;24;39.05;80.9;189.38;63.2;41.82
320990;21;32.15;72.2;191.49;63.2;1.32
322881;22;42.15;80.6;181.56;63.3;2.29
325073;23;36.42;83.8;182.99;63.9;11.39
327120;26;33.2;77.9;184.4;63.7;1.7
328990;24;40.2;81.7;185.48;63.8;1.35
330912;23;42.67;82.7;179.72;63.9;2.19
333122;27;33.88;74.4;180.01;63.8;1.04
335020;24;42.75;83.2;181.44;64.1;8.59
336772;21;38.08;78.5;182.14;64.1;6.43
338688;26;35.88;74.7;186.76;64.2;21.74
340602;23;39.02;80.0;182.71;64.3;3.4
342675;24;39.38;77.2;182.33;64.4;1.16
344567;25;40.3;81.1;183.52;64.6;1.81
346481;22;43.08;85.1;186.18;65.0;43.27
348433;21;33.6;74.3;187.38;64.9;2.08
350347;22;38.5;81.7;190.01;65.3;6.23
352182;23;38.38;76.4;185.14;65.3;26.87
354107;23;38.2;79.1;184.64;65.4;1.88
356049;23;42.12;82.5;186.26;65.5;6.84
357954;24;40.38;80.0;188.41;65.6;35.32
359826;20;35.2;74.1;188.51;65.5;6.31
361768;20;38.9;79.0;181.51;65.6;30.06
363686;25;40.25;82.2;182.62;65.5;15.31
365813;21;34.2;72.9;184.36;65.4;7.44
367694;26;38.83;80.8;183.96;65.6;5.08
369659;25;38.2;79.5;181.18;65.7;3.04
371826;23;32.9;72.2;181.11;65.9;16.12
373758;28;44.15;84.6;180.29;65.9;24.31
375707;25;39.73;76.7;180.59;66.0;14.58
377728;23;37.5;77.5;183.43;66.0;12.15
379669;24;39.1;81.2;190.45;66.3;1.37
381599;25;40.12;80.8;184.67;66.1;1.87
383636;22;39.8;78.2;185.73;66.4;1.3
385563;24;39.85;83.2;185.5;66.6;65.3
387466;23;34.42;75.4;185.93;66.5;8.7
389395;21;37.6;77.8;188.17;66.4;18.58
391335;26;37.4;77.6;181.56;66.5;33.66
393253;23;40.17;79.6;183.01;66.6;1.05
395146;21;38.0;78.4;183.03;66.6;1.81
397065;26;42.3;82.8;183.86;66.9;38.11
399054;21;33.8;70.7;185.31;66.7;20.83
400959;22;39.52;79.8;185.3;66.8;9.45
402862;23;41.95;83.2;185.51;67.1;5.24
404914;23;37.67;77.2;185.77;67.0;32.09
406823;26;38.73;78.5;184.66;67.0;1.07
408782;23;43.6;84.3;181.19;67.0;1.77
410899;23;35.65;75.6;182.3;67.1;1.06
412779;28;41.45;80.8;181.69;67.4;25.86
414698;23;35.38;76.6;176.31;67.3;7.22
416594;20;38.83;81.7;177.25;67.5;1.67
418562;26;37.33;78.4;177.57;67.6;33.05
420478;21;36.17;74.0;176.8;67.6;1.09
422424;22;40.1;80.1;178.43;67.8;1.95
424349;23;40.95;84.1;180.02;68.0;1.31
426298;23;37.9;79.3;180.17;68.2;7.91
428465;27;37.6;73.4;180.27;68.1;35.98
430370;22;34.42;74.6;180.4;68.3;21.94
432347;21;37.3;79.5;186.13;68.4;3.87
434229;24;38.85;79.2;181.84;68.6;1.81
436157;23;35.77;79.6;181.31;68.6;70.62
438082;20;32.73;74.4;181.86;68.3;1.05
439985;22;39.35;80.4;184.27;68.5;9.31
441851;22;37.92;78.8;185.07;68.6;35.62
443761;25;32.98;73.7;189.16;68.7;11.49
445674;20;42.02;81.5;195.71;69.0;1.48
447494;22;39.95;80.0;204.14;69.3;30.73
449415;25;37.4;78.6;210.25;69.4;1.76
