time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593256879200;37.2;73.4;198057984;56.4;17898676.97
1593256881111;38.0;76.7;198348800;56.5;10307799.75
1593256883003;36.975;79.6;199376896;56.7;2548961.58
1593256884949;35.5;74.4;200970240;56.8;1890630.01
1593256886870;41.05;82.4;202764288;57.0;36078338.51
1593256888776;42.625;82.4;204210176;57.3;11139206.67
1593256890862;36.925;74.1;209862656;57.4;2545354.75
1593256892745;40.825;80.1;217518080;57.8;1113295.18
1593256894814;38.35;76.1;224792576;57.9;13748965.55
1593256896857;36.45;76.6;204517376;57.7;11077008.43
1593256898722;41.175;81.6;204992512;57.8;2163968.64
1593256900587;41.175;83.5;205623296;58.0;2365819.0
1593256902416;35.675;75.9;207425536;58.1;1150573.3
1593256904305;42.55;82.8;209276928;58.4;37174448.73
1593256906243;35.1;72.5;209850368;58.3;1625156.33
1593256908103;40.975;81.0;212209664;58.6;1933450.2
1593256910015;42.475;81.2;213573632;58.7;28891641.94
1593256911868;39.2;79.8;219893760;59.0;1143671.9
1593256913921;35.775;73.3;227069952;58.9;20006775.25
1593256915998;36.1;75.0;235057152;59.2;20555216.29
1593256917879;37.925;79.0;241741824;59.4;11472660.3
1593256919826;39.2;80.7;220737536;59.3;1949183.22
1593256921789;38.8;80.0;213938176;59.5;35718510.18
1593256923711;34.15;73.6;215269376;59.4;2016690.52
1593256925616;42.025;82.6;215203840;59.7;16759526.43
1593256927649;32.7;82.6;211079168;59.7;21642092.52
1593256929637;34.05;82.0;212500480;59.7;7042120.61
1593256931551;41.675;84.8;214855680;60.0;28857193.69
1593256933638;35.825;86.6;215904256;60.7;13641328.25
1593256935763;33.65;86.2;217186304;61.4;12939997.76
1593256937699;40.25;91.2;218423296;61.6;7038056.2
1593256939682;36.4;86.0;223752192;61.9;9913886.89
1593256941497;37.4;76.1;230219776;61.9;25118207.76
1593256943364;31.725;73.3;236994560;62.0;823549.08
1593256945246;40.2;81.4;244715520;62.2;3515220.62
