time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952857758;0.0;0.0;119533568;59.3;311250.5
1593952859188;0.0;16.3;119533568;59.4;1814571.66
1593952860616;11.15;33.0;132816896;59.6;9648274.0
1593952862370;39.95;72.8;157208576;60.0;20171929.67
1593952864072;36.475;67.6;167845888;60.2;1343423.92
1593952865753;39.475;65.7;177491968;60.5;2106510.24
1593952867687;34.875;64.8;168505344;60.5;27177038.09
1593952869376;35.2;64.8;171593728;60.7;1289960.34
1593952871232;34.45;64.4;179539968;61.1;4498924.81
1593952873133;29.925;63.5;190664704;61.3;12954483.39
1593952874814;37.85;68.7;178597888;61.4;40694467.07
1593952876542;31.55;64.5;180625408;61.3;18019764.05
1593952878244;35.55;68.5;180137984;61.5;21426145.92
1593952879950;35.1;65.8;184651776;61.4;8956226.43
1593952881820;33.325;62.1;194748416;61.6;31714506.31
1593952883513;34.025;63.5;203091968;61.9;14062532.26
1593952885208;36.475;67.3;186322944;61.8;1974835.35
1593952886914;37.625;68.9;186294272;62.1;2422774.44
1593952888924;33.0;64.6;186671104;62.3;1916482.78
1593952890680;38.05;72.3;186892288;62.5;28228635.32
1593952892366;37.5;67.5;188706816;62.7;1874780.9
1593952894247;33.325;64.7;195624960;62.9;16429451.64
1593952896067;34.625;65.6;191090688;62.8;12629021.73
1593952897770;37.025;70.6;191737856;62.8;2453703.22
1593952899458;39.0;68.5;191696896;63.0;13913584.68
1593952901657;30.175;54.5;191766528;62.8;19867972.67
1593952903376;37.95;66.3;194179072;63.0;30469509.21
1593952905069;36.7;69.9;196460544;63.2;1456889.57
1593952906803;36.925;67.8;190140416;63.3;2230863.64
1593952908550;37.175;67.8;190095360;63.4;2644085.61
1593952910255;37.725;72.3;190955520;63.6;73946293.85
1593952911963;25.45;58.2;191717376;63.6;14183338.42
1593952913658;38.675;70.6;193208320;63.8;2078889.43
1593952915364;40.675;71.2;189665280;64.0;76052118.57
1593952917052;29.4;61.3;188993536;64.0;10533779.15
1593952918746;38.425;70.9;191377408;64.3;22323053.78
1593952920563;28.0;56.2;193085440;64.4;10413020.35
1593952922226;39.725;71.8;194060288;64.4;9635644.74
1593952923860;33.425;65.3;196767744;64.6;1906869.03
1593952925585;37.625;68.6;205234176;64.9;2740423.76
1593952927311;35.675;67.8;214212608;65.1;6094827.35
1593952929385;30.825;57.6;222986240;65.1;1744004.64
1593952931247;37.625;68.4;202022912;64.4;2426852.44
1593952933130;32.225;66.6;202129408;64.4;2149630.34
1593952934936;34.575;64.5;202510336;64.6;1100913.21
1593952936637;40.375;67.2;203280384;64.8;44746684.04
1593952938358;36.35;68.2;205099008;65.0;8419819.77
1593952940272;30.7;57.9;206999552;65.2;1269284.65
1593952942045;34.275;66.8;208928768;65.5;24257042.74
1593952943727;29.85;63.4;216457216;65.6;25493785.28
1593952945465;38.975;68.9;202403840;65.5;1847230.29
1593952947183;36.35;69.8;202104832;65.6;1685687.8
1593952948914;37.625;68.6;203751424;65.9;39125443.25
1593952950566;30.95;62.2;204058624;66.0;18009512.07
1593952952248;34.05;65.4;205725696;66.1;15269588.47
1593952953937;40.5;70.6;207327232;66.4;1371077.81
1593952955777;36.875;63.2;209854464;66.4;1901496.74
1593952957437;31.6;68.6;212480000;66.6;1165956.6
1593952959090;9.9;32.5;215113728;66.6;922470.75
