timestamp(ms);elapse-time(ms);tx-load
2711;282;3
2861;419;4
2872;287;3
3167;309;1
3564;694;7
3576;550;7
3670;630;8
3678;629;9
3784;471;7
3961;388;9
4048;385;10
4289;602;9
4301;519;9
4390;514;8
4484;598;9
4490;610;9
4586;543;9
4740;611;10
4951;655;10
5050;665;12
5184;704;11
5366;871;13
5376;792;12
5580;857;14
5676;824;14
5685;827;14
5787;742;13
5883;703;14
6053;681;15
6135;560;15
6232;561;14
6426;736;17
6439;656;15
6543;667;13
6639;672;13
6646;676;13
6754;622;11
6866;637;13
7058;623;16
7146;608;14
7235;599;14
7397;743;14
7411;662;13
7500;638;14
7576;608;13
7583;610;13
7680;538;13
7759;528;11
7926;518;12
8007;511;13
8108;535;11
8337;749;10
8348;672;10
8464;709;10
8701;855;13
8714;862;13
8861;859;16
8943;838;17
9089;746;15
9180;721;14
9268;576;14
9420;676;16
9429;573;15
9506;567;16
9599;583;15
9605;585;15
9691;515;15
9765;501;14
9930;505;12
10052;550;13
10158;566;13
10342;732;11
10353;666;11
10453;693;11
10553;709;12
10562;715;12
10650;607;11
10731;580;10
10910;561;13
11096;647;15
11181;635;14
11342;773;12
11353;707;12
11440;714;12
11516;698;11
11521;696;11
11607;515;11
11721;544;11
11934;586;12
12029;593;13
12291;780;12
12457;929;15
12466;866;15
12556;847;15
12629;794;14
12637;798;14
12728;704;14
12807;520;13
12971;507;14
13055;503;16
13131;507;16
13293;647;18
13305;581;17
13397;594;11
13486;602;11
13492;605;11
13594;543;10
13742;617;10
13929;627;10
14032;640;12
14315;834;14
14468;971;16
14480;892;15
14566;830;15
14660;821;15
14665;822;15
14752;722;14
14824;513;13
14971;496;14
15055;493;16
15131;476;16
15272;600;17
15281;533;17
15374;554;11
15491;594;12
15504;603;12
15612;561;10
15706;579;12
15882;605;13
15975;605;13
16066;587;14
16269;758;14
16278;672;13
16373;672;13
16464;674;13
16471;676;14
16563;594;13
16645;584;13
16806;532;13
16890;522;15
16969;510;13
17143;665;13
17169;610;11
17287;646;11
17386;655;11
17393;656;11
17495;609;10
