timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;119.53;59.3;0.31
1430;0;0.0;16.3;119.53;59.4;1.81
2858;1;11.15;33.0;132.82;59.6;9.65
4612;17;39.95;72.8;157.21;60.0;20.17
6314;20;36.48;67.6;167.85;60.2;1.34
7995;26;39.48;65.7;177.49;60.5;2.11
9929;27;34.88;64.8;168.51;60.5;27.18
11618;26;35.2;64.8;171.59;60.7;1.29
13474;25;34.45;64.4;179.54;61.1;4.5
15375;26;29.93;63.5;190.66;61.3;12.95
17056;28;37.85;68.7;178.6;61.4;40.69
18784;23;31.55;64.5;180.63;61.3;18.02
20486;24;35.55;68.5;180.14;61.5;21.43
22192;26;35.1;65.8;184.65;61.4;8.96
24062;23;33.33;62.1;194.75;61.6;31.71
25755;25;34.02;63.5;203.09;61.9;14.06
27450;24;36.48;67.3;186.32;61.8;1.97
29156;25;37.62;68.9;186.29;62.1;2.42
31166;23;33.0;64.6;186.67;62.3;1.92
32922;21;38.05;72.3;186.89;62.5;28.23
34608;24;37.5;67.5;188.71;62.7;1.87
36489;26;33.33;64.7;195.62;62.9;16.43
38309;27;34.62;65.6;191.09;62.8;12.63
40012;25;37.02;70.6;191.74;62.8;2.45
41700;25;39.0;68.5;191.7;63.0;13.91
43899;25;30.18;54.5;191.77;62.8;19.87
45618;29;37.95;66.3;194.18;63.0;30.47
47311;23;36.7;69.9;196.46;63.2;1.46
49045;27;36.92;67.8;190.14;63.3;2.23
50792;26;37.17;67.8;190.1;63.4;2.64
52497;26;37.73;72.3;190.96;63.6;73.95
54205;19;25.45;58.2;191.72;63.6;14.18
55900;24;38.67;70.6;193.21;63.8;2.08
57606;25;40.67;71.2;189.67;64.0;76.05
59294;22;29.4;61.3;188.99;64.0;10.53
60988;21;38.42;70.9;191.38;64.3;22.32
62805;25;28.0;56.2;193.09;64.4;10.41
64468;23;39.73;71.8;194.06;64.4;9.64
66102;24;33.42;65.3;196.77;64.6;1.91
67827;29;37.62;68.6;205.23;64.9;2.74
69553;28;35.67;67.8;214.21;65.1;6.09
71627;27;30.82;57.6;222.99;65.1;1.74
73489;31;37.62;68.4;202.02;64.4;2.43
75372;28;32.23;66.6;202.13;64.4;2.15
77178;26;34.58;64.5;202.51;64.6;1.1
78879;27;40.38;67.2;203.28;64.8;44.75
80600;24;36.35;68.2;205.1;65.0;8.42
82514;23;30.7;57.9;207.0;65.2;1.27
84287;29;34.27;66.8;208.93;65.5;24.26
85969;26;29.85;63.4;216.46;65.6;25.49
87707;25;38.98;68.9;202.4;65.5;1.85
89425;27;36.35;69.8;202.1;65.6;1.69
91156;25;37.62;68.6;203.75;65.9;39.13
92808;21;30.95;62.2;204.06;66.0;18.01
94490;22;34.05;65.4;205.73;66.1;15.27
96179;24;40.5;70.6;207.33;66.4;1.37
98019;25;36.88;63.2;209.85;66.4;1.9
99679;26;31.6;68.6;212.48;66.6;1.17
101332;16;9.9;32.5;215.11;66.6;0.92
