timestamp(ms);elapse-time(ms);tx-load
2604;184;3
2693;255;3
2704;176;3
2954;263;1
3263;561;7
3276;480;7
3380;567;8
3388;583;9
3496;411;7
3653;379;10
3727;350;10
3941;547;9
3950;458;9
4029;458;9
4105;522;8
4111;536;8
4195;471;8
4275;475;9
4507;561;9
4668;643;10
4778;678;10
4998;881;15
5009;817;13
5105;833;15
5199;772;15
5207;775;15
5294;629;14
5373;600;14
5525;520;15
5604;503;15
5704;507;17
5846;634;16
5855;565;16
5929;561;12
6015;570;12
6021;572;12
6109;510;10
6184;486;11
6408;555;12
6517;590;10
6622;613;9
6800;773;12
6813;709;11
7066;886;15
7146;880;16
7154;881;16
7250;739;15
7337;718;15
7481;672;16
7566;504;13
7646;505;14
7786;626;16
7795;548;15
7889;557;16
7980;569;16
7988;574;16
8109;547;11
8206;562;12
8382;591;13
8485;600;14
8581;607;12
8724;728;14
8733;630;13
8815;616;13
8903;617;13
8911;619;13
9001;520;12
9079;502;14
9232;503;14
9309;498;15
9382;484;13
9535;618;11
9544;547;11
9625;550;10
9730;574;12
9750;588;11
9907;603;12
10008;631;13
10178;638;13
10271;652;14
10350;625;13
10491;729;15
10500;597;14
10583;581;14
10652;561;13
10659;562;13
10745;479;13
10819;475;12
10966;470;11
11037;458;12
11133;484;11
11440;775;11
11450;709;10
11584;769;11
11681;785;12
11689;788;12
11800;767;13
11909;781;15
12101;655;16
12172;600;14
12246;567;15
12389;690;16
12398;602;15
12545;641;15
12625;617;14
12633;621;14
12722;555;13
12802;561;13
12947;551;15
13015;476;12
13087;466;13
13277;638;11
13289;571;11
13394;596;11
13488;611;13
13496;615;11
13655;643;12
13747;664;15
13937;653;15
14011;623;14
14090;606;14
14222;719;15
14231;582;14
14307;566;14
14386;552;14
14393;554;14
14482;475;13
14561;475;13
14705;479;12
14779;475;13
14862;481;13
15080;683;10
15094;616;10
15224;667;9
15326;693;9
15333;696;9
15448;673;9
15542;687;10
15954;865;14
16033;813;12
16124;803;12
16281;941;13
16290;846;13
16377;839;13
16459;589;12
16466;593;12
16568;539;13
16698;578;15
16886;600;16
16975;603;16
17069;615;12
17261;789;14
17270;708;13
17350;660;13
17420;635;13
17426;632;13
17513;543;12
17585;522;11
17730;463;12
17804;459;13
18004;589;14
18160;729;12
18170;662;11
18259;678;11
18366;707;11
18378;714;11
18492;692;13
18600;599;13
18772;606;15
18872;617;15
18954;600;14
19100;712;14
19111;626;14
19188;594;13
19311;627;13
19318;629;13
19404;537;12
19485;535;12
19645;538;12
19725;541;12
19818;513;10
20133;810;10
20145;746;10
20279;800;9
20379;815;9
20386;816;9
20502;780;10
20867;1054;19
21046;906;17
21124;849;16
21204;830;15
21340;947;16
21349;850;16
21426;566;14
21507;543;14
21514;546;14
21598;478;14
21677;478;14
21822;477;17
21900;478;19
21982;481;16
22182;662;12
22195;601;11
22287;614;12
22371;626;12
22377;627;12
22476;580;12
22571;592;13
22740;547;15
22817;535;14
22904;539;13
23042;657;12
23051;579;12
23130;562;11
23205;546;10
23213;548;10
23299;486;9
23445;546;9
23818;770;11
23921;795;12
24014;813;12
24186;967;16
24196;902;15
24289;847;16
24381;804;18
24387;807;18
24468;550;14
24547;539;15
24697;503;17
24784;499;17
24868;492;17
25017;625;18
25026;563;12
25103;559;11
25178;555;11
25184;556;11
25273;493;10
25350;486;9
25550;528;10
25881;783;10
25978;804;12
26151;958;14
26164;896;14
26269;924;15
26355;923;15
26362;925;15
26446;571;12
26523;551;14
26676;515;14
26755;490;14
26886;536;15
27041;674;11
27051;609;11
27135;618;10
27395;795;12
27402;798;13
27524;773;13
27637;757;15
27813;768;14
27924;794;15
28011;619;14
28180;772;17
28190;677;15
28268;635;15
28344;625;14
28352;628;14
28473;553;13
28560;552;15
28708;520;13
28788;525;13
28877;537;13
29030;671;11
29039;571;11
29127;571;10
29368;738;13
29375;741;13
29480;698;13
29569;697;15
29751;716;14
29831;709;14
29912;550;14
30070;687;17
