time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952698093;0.0;0.0;259932160;60.2;262052.02
1593952699511;0.0;13.7;259932160;60.3;1363001.22
1593952700940;10.725;32.1;232927232;60.0;18282126.66
1593952702598;34.2;71.2;245747712;60.3;10117962.5
1593952704343;38.85;72.6;245399552;60.5;20366037.42
1593952706047;33.25;65.9;246439936;60.5;1694978.89
1593952707722;34.1;68.5;247353344;60.7;24601220.83
1593952709507;30.225;64.7;248733696;60.6;12746286.65
1593952711207;34.725;65.4;250851328;60.9;9334766.58
1593952712965;37.15;72.0;239697920;61.1;33131218.02
1593952714650;30.8;66.2;240553984;61.1;19899533.29
1593952716361;35.075;66.0;242905088;61.4;16499910.74
1593952718137;31.575;72.3;244322304;61.5;980424.53
1593952720129;31.65;61.7;247500800;61.8;47469134.7
1593952721807;32.95;67.8;244039680;61.9;7894813.88
1593952723512;37.625;67.2;245960704;62.1;19372084.39
1593952725466;29.4;61.3;246083584;62.3;12195930.47
1593952727229;36.275;71.0;245784576;62.4;2117985.91
1593952728878;37.4;70.5;247693312;62.7;47880249.49
1593952730654;35.525;77.7;250871808;61.6;10305343.27
1593952732487;32.25;66.2;255844352;61.8;1771661.33
1593952734329;34.125;66.3;247439360;61.9;26741941.27
1593952736032;34.175;63.8;246169600;61.9;1265545.67
1593952737688;35.125;67.4;248729600;62.1;38259055.02
1593952739413;29.275;65.5;249835520;62.2;20965722.98
1593952741095;34.575;69.2;251097088;62.4;7854259.28
1593952742997;32.575;64.6;253218816;62.4;12724511.57
1593952744938;30.625;62.6;246345728;62.4;2029054.72
1593952746691;36.825;68.2;248385536;62.6;9020252.53
1593952748442;41.75;70.8;249491456;62.7;22704600.41
1593952750129;34.5;65.4;250060800;62.5;5503943.69
1593952751985;37.175;68.2;251219968;62.5;35290953.3
1593952753776;36.975;69.7;241782784;62.4;31992658.92
1593952755526;32.8;65.7;243650560;62.7;1392801.99
1593952757243;35.675;69.6;244441088;62.9;2218204.38
1593952758965;37.05;73.0;245547008;63.2;5535050.0
1593952760712;36.6;70.5;246861824;63.4;19744820.01
1593952762680;30.55;62.6;251113472;63.5;39716618.33
1593952764385;37.4;79.5;200761344;61.8;35146476.12
1593952766867;21.075;57.3;200425472;59.0;13179220.49
1593952768546;35.05;66.9;200814592;59.1;1989757.23
1593952770287;36.6;67.3;201220096;59.3;26766120.73
1593952772023;34.925;68.0;202252288;58.8;9501095.31
1593952773643;32.275;67.7;204214272;58.9;44105228.76
1593952775350;29.55;64.8;206581760;59.0;15437834.35
1593952777039;36.125;70.6;204570624;59.3;1421961.17
1593952778965;35.575;63.0;206123008;59.4;1823294.43
1593952780687;39.55;71.6;207294464;59.7;2541222.51
1593952782358;35.75;68.2;207335424;60.0;42375599.77
1593952784064;31.425;66.0;207544320;59.9;11204172.97
1593952785712;36.55;68.8;209055744;60.1;1408632.5
1593952787581;33.825;65.9;210968576;60.3;40466189.86
1593952789277;28.9;66.3;214118400;60.4;1327575.69
1593952790981;35.75;70.2;208912384;60.5;2406632.41
1593952792657;38.1;71.3;207343616;60.6;54576110.35
1593952794608;28.975;60.2;208158720;60.7;1514720.08
1593952796267;36.325;69.4;208232448;60.9;34617798.98
1593952797944;33.1;62.9;195198976;60.7;1068435.13
1593952799607;12.975;35.0;196653056;60.7;616484.51
