timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;259.93;60.2;0.26
1418;0;0.0;13.7;259.93;60.3;1.36
2847;3;10.72;32.1;232.93;60.0;18.28
4505;17;34.2;71.2;245.75;60.3;10.12
6250;24;38.85;72.6;245.4;60.5;20.37
7954;23;33.25;65.9;246.44;60.5;1.69
9629;30;34.1;68.5;247.35;60.7;24.6
11414;23;30.23;64.7;248.73;60.6;12.75
13114;23;34.73;65.4;250.85;60.9;9.33
14872;28;37.15;72.0;239.7;61.1;33.13
16557;24;30.8;66.2;240.55;61.1;19.9
18268;26;35.08;66.0;242.91;61.4;16.5
20044;21;31.57;72.3;244.32;61.5;0.98
22036;23;31.65;61.7;247.5;61.8;47.47
23714;26;32.95;67.8;244.04;61.9;7.89
25419;24;37.62;67.2;245.96;62.1;19.37
27373;23;29.4;61.3;246.08;62.3;12.2
29136;24;36.27;71.0;245.78;62.4;2.12
30785;23;37.4;70.5;247.69;62.7;47.88
32561;26;35.52;77.7;250.87;61.6;10.31
34394;27;32.25;66.2;255.84;61.8;1.77
36236;27;34.12;66.3;247.44;61.9;26.74
37939;25;34.17;63.8;246.17;61.9;1.27
39595;25;35.12;67.4;248.73;62.1;38.26
41320;22;29.27;65.5;249.84;62.2;20.97
43002;28;34.58;69.2;251.1;62.4;7.85
44904;27;32.58;64.6;253.22;62.4;12.72
46845;27;30.62;62.6;246.35;62.4;2.03
48598;29;36.83;68.2;248.39;62.6;9.02
50349;27;41.75;70.8;249.49;62.7;22.7
52036;22;34.5;65.4;250.06;62.5;5.5
53892;27;37.17;68.2;251.22;62.5;35.29
55683;21;36.98;69.7;241.78;62.4;31.99
57433;27;32.8;65.7;243.65;62.7;1.39
59150;26;35.67;69.6;244.44;62.9;2.22
60872;25;37.05;73.0;245.55;63.2;5.54
62619;27;36.6;70.5;246.86;63.4;19.74
64587;24;30.55;62.6;251.11;63.5;39.72
66292;23;37.4;79.5;200.76;61.8;35.15
68774;22;21.07;57.3;200.43;59.0;13.18
70453;21;35.05;66.9;200.81;59.1;1.99
72194;24;36.6;67.3;201.22;59.3;26.77
73930;22;34.92;68.0;202.25;58.8;9.5
75550;23;32.27;67.7;204.21;58.9;44.11
77257;19;29.55;64.8;206.58;59.0;15.44
78946;25;36.12;70.6;204.57;59.3;1.42
80872;26;35.58;63.0;206.12;59.4;1.82
82594;28;39.55;71.6;207.29;59.7;2.54
84265;25;35.75;68.2;207.34;60.0;42.38
85971;22;31.43;66.0;207.54;59.9;11.2
87619;27;36.55;68.8;209.06;60.1;1.41
89488;27;33.83;65.9;210.97;60.3;40.47
91184;22;28.9;66.3;214.12;60.4;1.33
92888;23;35.75;70.2;208.91;60.5;2.41
94564;27;38.1;71.3;207.34;60.6;54.58
96515;25;28.98;60.2;208.16;60.7;1.51
98174;25;36.33;69.4;208.23;60.9;34.62
99851;24;33.1;62.9;195.2;60.7;1.07
101514;10;12.97;35.0;196.65;60.7;0.62
