time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952420778;0.0;0.0;225378304;46.0;139196.24
1593952422195;0.0;14.8;225378304;46.1;818490.17
1593952423651;9.675;30.4;225693696;46.1;13609941.42
1593952425370;34.075;74.5;232599552;46.4;17842416.8
1593952427131;34.725;75.1;227123200;46.5;1361987.58
1593952428824;31.5;72.9;227110912;46.7;15579491.24
1593952430561;35.575;74.8;229990400;46.9;24046679.69
1593952432294;34.7;72.7;232095744;47.1;212421.65
1593952434069;10.975;35.9;233316352;47.1;184732.39
