timestamp(ms);elapse-time(ms);tx-load
2588;173;3
2682;255;4
2694;183;3
2923;244;1
3250;558;7
3264;484;6
3359;569;7
3367;568;7
3485;443;7
3708;451;9
3793;440;8
4087;709;10
4098;616;9
4185;615;9
4273;687;10
4281;704;10
4370;581;10
4477;603;10
4724;632;13
4824;644;13
4934;665;14
5123;833;13
5137;769;13
5244;770;13
5331;758;15
5339;752;15
5427;609;13
5506;587;13
5671;538;13
5756;519;15
5874;549;16
6035;689;15
6046;625;12
6131;629;11
6218;629;11
6226;632;12
6337;585;11
6470;602;12
6667;624;15
6762;636;13
6857;647;13
7030;795;14
7041;715;13
7130;669;13
7230;661;13
7240;665;13
7346;591;12
7429;577;13
7602;564;13
7690;565;15
7774;549;14
7955;703;12
7968;627;11
8068;645;11
8190;674;12
8202;681;12
8306;623;11
8408;639;12
8626;663;14
8724;665;14
8818;633;14
8977;766;14
8991;689;13
9083;681;13
9165;659;13
9173;660;13
9268;548;13
9352;544;13
9514;528;13
9600;523;13
9686;526;13
9892;711;13
9911;648;11
10035;688;13
10134;700;11
10144;706;11
10243;647;12
10341;662;13
10518;617;16
10600;570;14
10686;561;15
10850;699;15
10866;630;14
10958;622;15
11042;611;14
11050;612;14
11127;534;14
11209;528;13
11320;464;13
11413;472;14
11541;505;13
11555;435;13
11683;479;11
11777;390;10
11867;344;10
11974;302;10
12068;298;8
12076;214;8
12167;104;6
12242;78;5
