time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952351823;0.0;0.0;220692480;44.7;4092.43
1593952353229;0.0;13.0;220692480;44.7;241363.36
1593952354658;10.175;33.7;222404608;44.8;7685003.26
1593952356372;31.825;71.8;213692416;44.9;14406506.67
1593952358105;32.2;71.7;214564864;45.1;5114720.32
1593952359850;36.375;75.5;218148864;45.2;567778.69
1593952361584;33.125;72.2;223346688;45.4;34430056.46
1593952363317;29.275;75.0;232525824;45.6;619712.91
1593952365014;13.875;41.0;236077056;45.7;615196.68
