timestamp(ms);elapse-time(ms);tx-load
48110;538;8
48363;783;11
48455;796;12
48567;827;12
48695;869;13
48705;257;7
48803;786;15
48896;791;16
49087;1158;16
49173;614;12
49260;572;12
49338;637;13
49414;614;14
49491;603;15
49567;586;15
49574;165;12
49656;489;14
49737;483;14
49902;823;10
49993;507;8
50080;519;8
50175;605;10
50287;634;10
50394;662;11
50639;827;12
50648;367;8
50740;753;13
50824;748;14
50994;1098;17
51106;719;12
51200;566;11
51286;643;12
51385;651;13
51476;656;14
51561;649;14
51571;192;10
51668;566;13
51781;585;7
51965;976;14
52066;595;11
52173;616;12
52259;694;13
52339;677;14
52416;642;13
52490;615;14
52499;165;9
52584;525;14
52678;511;7
52829;872;12
52908;497;10
52987;502;11
53076;583;12
53161;582;12
53239;567;11
53345;596;13
53357;203;10
53460;557;12
53553;571;11
53734;911;13
53833;601;11
53912;574;12
54006;657;13
54137;683;13
54217;669;14
54295;655;14
54303;171;10
54383;556;14
54461;555;13
54613;886;12
54696;484;9
54777;489;10
54858;560;11
54967;590;11
55071;616;11
55175;643;12
55187;226;7
55282;592;10
55474;703;8
55653;1046;13
55753;689;12
55844;677;12
55933;754;12
56022;747;12
56118;650;12
56211;644;11
56219;203;10
56307;559;11
56396;558;11
56606;959;11
57014;905;12
57111;905;13
57214;999;15
57310;1008;18
57390;999;18
57467;978;19
57476;172;10
57553;544;14
57630;528;14
57793;1194;16
57873;489;10
57953;491;11
58041;570;12
58124;576;11
58214;590;11
58292;581;12
58300;183;9
58398;531;11
58515;568;6
58712;924;12
58805;596;9
58901;615;11
58976;681;11
59207;815;13
59296;786;14
59394;789;15
59404;203;8
59497;697;13
59595;700;13
59779;1074;14
59874;584;10
59965;578;11
60079;682;13
60182;693;14
60279;689;14
60377;686;15
60387;211;10
60489;622;13
60569;609;13
60724;950;12
60810;540;11
60894;526;11
60972;592;11
61051;566;12
61138;574;11
61218;572;10
61226;180;9
61304;500;11
61599;710;7
61795;1077;14
61884;757;11
61973;761;11
62072;851;13
62159;859;14
62327;738;14
62424;721;15
62434;280;10
62526;649;15
62606;639;16
62763;973;13
62857;536;10
62952;533;11
63036;609;12
63126;605;13
63243;643;13
63341;656;14
63350;232;10
63448;596;13
63540;594;13
63721;963;13
63804;568;11
63890;555;12
63965;620;12
64036;596;13
64114;581;13
64199;566;12
64207;176;9
64331;532;13
64423;539;6
64592;877;12
64690;579;10
64802;610;12
64921;719;12
65016;691;12
65110;693;13
65218;711;14
65226;216;10
65326;642;12
65403;612;13
65566;980;12
65653;549;10
65737;525;10
65828;607;12
66000;678;12
66095;696;12
66186;708;13
66196;202;9
66304;657;11
66429;697;8
66620;1061;14
66713;623;12
66807;626;12
66903;713;14
66976;678;13
67062;647;13
67149;623;12
67159;188;10
67249;542;12
67329;529;12
67482;867;8
67571;514;6
