timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;26.8;165.7;68.3;0.3
1404;0;0.0;10.3;165.7;68.4;0.24
2802;4;17.12;39.4;176.86;68.6;10.63
4447;15;38.92;68.4;202.4;69.0;10.36
6040;21;33.08;62.1;212.14;69.2;1.27
7649;26;38.12;65.9;222.22;69.3;13.98
9298;22;38.08;70.9;211.37;68.7;30.19
10903;22;36.17;69.5;210.81;68.7;13.95
12533;21;33.9;60.4;219.84;68.9;22.95
14187;22;31.38;56.1;227.61;69.1;1.19
15840;24;39.38;70.2;219.74;69.2;24.67
17654;22;33.2;55.0;223.03;69.3;11.06
19241;20;34.8;55.6;221.46;69.2;24.21
20822;23;36.88;61.8;226.62;69.3;8.75
22524;23;33.02;57.2;236.98;69.4;1.61
24152;21;40.15;64.5;223.79;69.4;28.49
25750;22;33.58;56.3;225.02;69.4;15.45
27350;25;37.0;60.6;226.94;69.4;44.54
28943;22;33.35;56.7;229.09;69.3;1.52
30567;23;39.9;61.3;238.09;69.6;1.03
32175;23;40.52;65.1;249.09;69.9;43.47
33809;21;30.73;52.8;256.88;69.8;7.16
35485;22;36.45;58.4;228.59;69.5;30.18
37085;22;28.62;51.9;230.96;69.5;1.88
38671;24;40.6;67.9;232.09;69.6;28.81
40245;22;27.73;50.4;232.46;69.6;8.32
41835;23;35.52;60.8;234.29;69.5;13.43
43434;23;36.05;59.9;235.45;69.6;26.51
45030;23;39.7;61.3;243.19;69.9;0.91
46920;22;31.8;50.6;234.98;69.7;36.87
48517;24;34.3;58.6;235.09;69.4;1.82
50141;23;36.05;62.4;235.51;69.6;4.8
51660;22;31.2;51.6;235.61;69.6;1.88
53253;26;37.98;63.8;236.67;69.8;1.97
54856;23;38.85;63.4;230.66;70.0;21.28
56451;24;33.58;52.6;231.51;70.1;11.18
58349;26;33.25;56.5;231.85;69.9;24.84
59939;24;34.58;57.2;232.82;70.0;30.78
61528;24;35.3;56.1;233.57;70.1;12.15
63117;21;32.1;56.0;239.21;70.1;1.16
64721;25;37.25;60.3;234.06;70.2;31.06
66336;22;33.65;59.7;233.74;70.3;40.71
67935;20;32.85;52.5;235.34;70.3;8.66
69518;20;35.88;60.0;236.44;70.2;1.55
71254;23;32.0;54.0;236.92;70.1;34.12
72859;22;34.95;57.2;238.32;70.2;13.65
74444;19;41.58;62.7;234.14;70.1;2.68
76049;25;37.12;64.3;235.4;70.2;2.89
77641;23;38.48;63.3;235.85;70.4;61.7
79230;22;33.85;55.3;236.73;70.4;5.0
80779;22;35.6;62.1;236.79;70.3;6.15
82519;27;34.23;57.8;232.93;70.3;2.22
84227;26;35.48;58.2;233.27;70.4;33.29
85829;22;32.85;56.8;232.57;70.4;13.54
87438;26;38.35;62.8;234.5;70.4;40.67
89041;21;31.05;53.6;235.93;70.4;21.62
90636;22;37.75;63.6;237.24;70.4;2.95
92236;23;40.45;64.1;243.71;70.7;22.3
93850;23;39.55;61.0;235.72;70.7;36.23
95564;21;31.38;53.4;235.52;70.6;6.84
97231;20;38.77;63.7;214.12;70.4;1.23
98839;27;37.38;59.7;215.89;70.6;1.33
100383;21;36.88;60.6;211.6;70.5;31.44
101979;25;32.12;53.8;213.69;70.5;1.74
103572;22;37.5;58.4;216.05;70.7;1.99
105208;24;39.67;60.5;214.73;70.9;35.31
106905;21;31.2;53.2;217.88;70.9;1.2
108519;22;40.52;65.1;219.45;71.0;16.72
110261;24;33.02;56.7;226.99;71.0;2.01
111883;21;37.25;58.0;223.85;71.1;6.87
113681;24;33.7;56.6;223.95;71.0;1.47
115273;27;42.15;64.6;224.86;71.0;2.36
116880;25;38.48;60.5;227.54;71.2;43.93
118515;20;27.62;47.2;224.8;71.1;10.25
120110;23;39.98;60.3;225.56;71.2;41.61
121716;22;32.02;55.1;226.19;71.1;1.52
123325;21;36.42;58.9;226.51;71.3;2.08
125048;26;33.85;56.3;231.72;71.3;1.94
126682;24;38.35;62.4;240.19;71.4;3.29
128305;24;40.62;65.4;233.41;71.5;78.43
129902;18;22.8;43.1;234.01;71.4;1.2
131491;23;34.55;59.3;235.34;71.4;25.06
133090;24;28.43;49.8;236.07;71.4;28.19
134754;24;32.08;55.7;237.27;71.5;1.73
136385;21;37.38;66.1;233.26;71.4;7.24
137996;25;37.15;58.9;235.35;71.3;1.22
139620;26;36.55;61.4;236.43;71.5;1.96
141459;23;27.12;49.0;237.33;71.3;3.56
143067;27;39.48;63.3;237.15;71.3;2.76
144663;26;38.1;63.2;240.21;71.4;48.46
146375;21;29.6;53.3;247.23;71.3;1.47
148026;22;38.92;60.8;237.46;71.4;31.01
149625;21;31.62;53.8;237.6;71.2;1.74
151218;20;42.88;63.7;216.99;71.1;1.64
153026;26;34.7;59.0;218.68;71.1;1.15
154669;23;37.6;60.2;213.79;71.0;6.79
156277;23;36.65;62.3;215.38;71.2;40.23
157873;20;27.2;54.0;216.7;71.0;10.11
159487;22;38.6;62.8;222.91;71.1;32.07
161113;21;34.12;53.8;223.1;71.1;25.69
162735;20;32.7;57.7;223.13;71.1;1.17
164396;23;41.5;65.5;224.03;71.2;2.21
166006;24;38.7;63.0;230.78;71.3;2.61
167627;23;38.12;65.2;226.71;71.4;8.58
169642;25;33.33;52.9;227.68;71.3;1.92
171276;28;40.25;66.3;227.79;71.4;3.46
172842;22;34.0;58.2;228.79;71.3;31.79
174473;26;31.0;55.7;235.14;71.2;21.97
