time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593318405217;0.0;26.8;165695488;68.3;299038.65
1593318406621;0.0;10.3;165695488;68.4;237605.95
1593318408019;17.125;39.4;176857088;68.6;10625934.73
1593318409664;38.925;68.4;202403840;69.0;10356257.17
1593318411257;33.075;62.1;212144128;69.2;1270046.4
1593318412866;38.125;65.9;222224384;69.3;13984070.08
1593318414515;38.075;70.9;211369984;68.7;30187042.66
1593318416120;36.175;69.5;210812928;68.7;13950112.83
1593318417750;33.9;60.4;219836416;68.9;22948843.93
1593318419404;31.375;56.1;227606528;69.1;1191547.56
1593318421057;39.375;70.2;219742208;69.2;24674116.67
1593318422871;33.2;55.0;223027200;69.3;11059161.29
1593318424458;34.8;55.6;221462528;69.2;24207106.02
1593318426039;36.875;61.8;226615296;69.3;8752457.72
1593318427741;33.025;57.2;236978176;69.4;1609100.29
1593318429369;40.15;64.5;223793152;69.4;28493171.93
1593318430967;33.575;56.3;225021952;69.4;15446686.18
1593318432567;37.0;60.6;226942976;69.4;44543148.58
1593318434160;33.35;56.7;229089280;69.3;1521009.36
1593318435784;39.9;61.3;238088192;69.6;1027860.83
1593318437392;40.525;65.1;249090048;69.9;43473296.26
1593318439026;30.725;52.8;256884736;69.8;7162798.86
1593318440702;36.45;58.4;228593664;69.5;30180294.84
1593318442302;28.625;51.9;230961152;69.5;1884852.23
1593318443888;40.6;67.9;232087552;69.6;28813969.63
1593318445462;27.725;50.4;232464384;69.6;8316588.91
1593318447052;35.525;60.8;234291200;69.5;13427275.53
1593318448651;36.05;59.9;235454464;69.6;26509721.34
1593318450247;39.7;61.3;243191808;69.9;913261.24
1593318452137;31.8;50.6;234975232;69.7;36871596.66
1593318453734;34.3;58.6;235089920;69.4;1824989.46
1593318455358;36.05;62.4;235511808;69.6;4798326.9
1593318456877;31.2;51.6;235606016;69.6;1877487.12
1593318458470;37.975;63.8;236670976;69.8;1973551.12
1593318460073;38.85;63.4;230662144;70.0;21282413.76
1593318461668;33.575;52.6;231514112;70.1;11177388.76
1593318463566;33.25;56.5;231845888;69.9;24842913.59
1593318465156;34.575;57.2;232816640;70.0;30783336.9
1593318466745;35.3;56.1;233570304;70.1;12147076.71
