timestamp(ms);elapse-time(ms);tx-load
2636;176;3
2723;249;3
2734;180;3
2976;256;1
3270;538;7
3288;461;6
3402;553;7
3417;577;7
3522;448;7
3688;406;10
3768;372;8
3994;565;9
4005;485;9
4087;486;9
4186;570;9
4199;590;9
4310;544;9
4396;555;10
4581;581;9
4704;623;12
4865;685;11
5056;844;13
5078;774;12
5185;794;12
5295;812;14
5302;813;14
5393;695;13
5519;659;14
5694;629;15
5781;605;16
5865;575;14
6023;713;15
6037;652;15
6126;611;12
6212;604;12
6221;609;12
6329;551;12
6448;586;11
6652;620;15
6747;627;13
6847;640;12
7025;794;14
7038;721;12
7127;684;13
7231;673;13
7240;675;13
7345;602;13
7432;595;13
7596;563;13
7687;564;15
7780;555;14
7938;688;13
7949;614;11
8051;625;11
8179;664;12
8194;674;12
8305;623;11
8406;632;12
8606;663;14
8699;658;14
8796;621;14
8955;752;14
8964;665;13
9048;649;13
9132;624;13
9141;627;13
9237;543;13
9322;531;12
9490;530;12
9577;534;13
9663;537;13
9895;749;11
9909;677;10
10021;703;11
10123;716;11
10133;723;11
10240;666;10
10358;699;12
10638;735;15
10723;713;16
10812;693;16
10961;821;16
10978;740;16
11064;713;15
11154;601;15
11161;602;15
11243;526;15
11327;520;16
11404;436;15
11482;423;14
11582;431;15
11595;356;14
11708;386;16
11814;338;11
11907;333;9
11992;290;7
12091;281;7
12103;199;6
12221;138;5
12381;179;1
