timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;0.0;233.31;47.3;0.0
1414;0;0.0;13.7;233.31;47.4;1.02
2850;3;11.12;34.8;204.03;47.1;14.76
4578;18;32.27;72.2;218.82;47.6;9.31
6357;26;35.52;74.4;225.26;47.8;18.32
8076;24;32.73;74.0;223.94;47.7;0.9
9831;25;33.7;75.2;226.69;47.9;13.34
11552;23;34.55;72.8;227.13;47.9;10.46
13338;26;34.77;70.9;222.76;47.9;1.0
15078;27;35.35;70.1;222.45;48.2;2.12
16810;25;30.88;70.8;224.12;48.5;70.97
18550;22;34.7;72.5;224.75;48.6;11.52
20321;23;34.85;76.3;229.47;48.9;0.44
22045;26;35.7;75.4;227.47;49.1;6.9
23938;26;30.38;70.3;227.6;49.0;16.0
25699;26;33.17;69.5;227.61;49.2;0.85
27441;23;32.0;69.4;230.97;49.2;1.17
29099;24;33.88;68.9;232.42;49.2;1.67
30820;24;28.4;70.2;226.53;49.4;1.71
32552;23;36.95;77.8;227.31;49.6;1.21
34302;24;36.5;74.4;229.2;49.8;28.59
36023;26;38.05;73.3;230.87;49.9;25.18
37758;24;34.48;71.3;231.69;50.0;6.64
39467;24;36.7;74.6;234.29;50.3;28.72
41181;22;29.77;66.6;229.27;50.3;1.25
42926;27;35.38;75.7;228.71;50.4;0.9
44647;26;38.05;73.5;230.25;50.7;33.27
46353;27;35.33;67.6;233.14;50.9;1.21
48010;25;37.5;67.1;235.98;51.1;36.74
49677;24;37.15;66.8;237.65;51.1;21.46
51414;24;36.5;68.1;245.33;51.3;1.78
53110;23;38.65;72.0;254.0;51.4;14.48
54824;26;40.45;68.6;263.22;51.6;32.63
56514;26;40.52;70.5;272.01;51.9;35.67
58228;23;34.77;69.9;242.48;51.6;30.71
59877;25;33.1;69.8;243.57;51.8;0.58
61528;27;38.9;68.5;244.23;52.0;18.48
63329;27;35.0;64.7;245.57;52.0;1.04
65009;28;39.6;69.0;248.58;52.2;1.19
66721;27;40.83;73.2;249.18;52.5;3.71
68416;27;36.48;67.0;251.77;52.7;8.88
70083;25;35.6;69.9;255.15;52.7;11.94
71805;26;38.98;68.2;263.98;52.9;36.12
73476;24;32.48;63.1;272.11;53.2;19.03
75172;23;36.83;71.7;280.46;53.5;1.97
76877;28;36.7;71.3;289.02;53.8;1.91
78618;25;37.73;70.1;297.47;54.0;57.08
80314;25;33.1;61.6;306.63;54.2;21.3
82051;24;32.67;67.8;315.21;54.1;1.48
83718;26;38.08;70.9;323.93;54.3;8.49
85530;27;34.7;66.5;332.71;54.6;0.58
87299;27;36.75;68.0;339.07;54.8;1.33
88975;27;36.8;70.3;347.35;54.9;45.26
90649;27;36.92;68.2;357.84;55.2;3.47
92496;26;33.27;63.7;366.53;55.4;0.94
94283;29;35.3;67.8;375.42;55.7;33.39
95971;19;19.93;44.5;379.94;55.7;2.11
