time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952462156;0.0;0.0;233312256;47.3;0.0
1593952463570;0.0;13.7;233312256;47.4;1024080.7
1593952465006;11.125;34.8;204034048;47.1;14755439.96
1593952466734;32.275;72.2;218820608;47.6;9305204.53
1593952468513;35.525;74.4;225263616;47.8;18323162.99
1593952470232;32.725;74.0;223940608;47.7;904344.93
1593952471987;33.7;75.2;226689024;47.9;13335495.58
1593952473708;34.55;72.8;227127296;47.9;10457341.79
1593952475494;34.775;70.9;222760960;47.9;998602.25
1593952477234;35.35;70.1;222453760;48.2;2120796.12
1593952478966;30.875;70.8;224116736;48.5;70972283.25
1593952480706;34.7;72.5;224751616;48.6;11515912.52
1593952482477;34.85;76.3;229470208;48.9;437609.07
1593952484201;35.7;75.4;227471360;49.1;6902452.27
1593952486094;30.375;70.3;227598336;49.0;15999445.49
1593952487855;33.175;69.5;227610624;49.2;852060.53
1593952489597;32.0;69.4;230969344;49.2;1171470.66
1593952491255;33.875;68.9;232419328;49.2;1673372.09
1593952492976;28.4;70.2;226529280;49.4;1707409.7
1593952494708;36.95;77.8;227311616;49.6;1207858.96
1593952496458;36.5;74.4;229195776;49.8;28594742.14
1593952498179;38.05;73.3;230871040;49.9;25183262.72
1593952499914;34.475;71.3;231686144;50.0;6635714.59
1593952501623;36.7;74.6;234291200;50.3;28722806.31
1593952503337;29.775;66.6;229269504;50.3;1246364.37
1593952505082;35.375;75.7;228708352;50.4;898613.35
1593952506803;38.05;73.5;230252544;50.7;33270458.85
1593952508509;35.325;67.6;233140224;50.9;1211393.95
1593952510166;37.5;67.1;235978752;51.1;36739653.8
1593952511833;37.15;66.8;237645824;51.1;21460050.1
1593952513570;36.5;68.1;245334016;51.3;1775322.53
1593952515266;38.65;72.0;254001152;51.4;14477385.63
1593952516980;40.45;68.6;263221248;51.6;32633318.25
1593952518670;40.525;70.5;272011264;51.9;35667498.01
1593952520384;34.775;69.9;242483200;51.6;30713557.48
1593952522033;33.1;69.8;243568640;51.8;577465.55
1593952523684;38.9;68.5;244228096;52.0;18478527.94
1593952525485;35.0;64.7;245567488;52.0;1040516.38
1593952527165;39.6;69.0;248578048;52.2;1193004.5
1593952528877;40.825;73.2;249180160;52.5;3714448.05
1593952530572;36.475;67.0;251768832;52.7;8878107.25
1593952532239;35.6;69.9;255148032;52.7;11935291.99
1593952533961;38.975;68.2;263983104;52.9;36121869.32
1593952535632;32.475;63.1;272105472;53.2;19028358.41
1593952537328;36.825;71.7;280457216;53.5;1965255.72
1593952539033;36.7;71.3;289017856;53.8;1913517.38
1593952540774;37.725;70.1;297472000;54.0;57079480.16
1593952542470;33.1;61.6;306634752;54.2;21295550.37
1593952544207;32.675;67.8;315211776;54.1;1480188.89
1593952545874;38.075;70.9;323928064;54.3;8493058.02
1593952547686;34.7;66.5;332709888;54.6;576812.5
1593952549455;36.75;68.0;339070976;54.8;1333754.77
1593952551131;36.8;70.3;347348992;54.9;45258120.0
1593952552805;36.925;68.2;357838848;55.2;3473783.06
1593952554652;33.275;63.7;366530560;55.4;941224.52
1593952556439;35.3;67.8;375418880;55.7;33393050.41
1593952558127;19.925;44.5;379936768;55.7;2106538.52
