timestamp(ms);elapse-time(ms);tx-load
2617;172;3
2715;255;4
2727;195;3
2934;221;1
3257;533;7
3272;454;6
3384;547;7
3400;573;7
3506;427;7
3690;422;10
3780;403;9
4000;590;10
4013;509;9
4098;500;10
4181;569;10
4190;585;9
4274;499;9
4377;518;10
4548;540;10
4683;588;12
4852;674;11
5034;836;13
5053;784;13
5154;800;12
5250;788;14
5263;795;14
5359;711;14
5453;608;13
5616;572;15
5715;566;16
5810;563;17
5967;696;15
5981;627;15
6064;615;12
6150;618;12
6160;622;13
6255;544;12
6342;538;11
6575;600;13
6666;608;13
6780;634;13
6962;796;13
6974;726;12
7077;742;13
7210;745;14
7218;746;14
7321;659;13
7404;629;14
7575;605;15
7660;589;15
7753;548;14
7898;668;15
7911;595;14
7994;591;12
8089;600;12
8101;607;12
8249;595;11
8351;604;12
8543;637;14
8636;646;14
8752;669;12
8905;792;14
8916;681;13
9000;658;13
9083;640;13
9093;644;13
9178;547;13
9266;519;14
9433;521;13
9521;526;15
9603;525;13
9765;666;11
9779;605;11
9887;628;11
10025;682;12
10036;685;12
10143;628;10
10251;652;12
10447;674;14
10550;672;14
10645;632;14
10804;761;14
10815;675;13
10905;660;13
10994;644;13
11006;649;13
11090;545;13
11181;541;12
11366;557;13
11445;544;14
11536;545;13
11761;750;11
11780;693;10
11883;708;12
11985;705;12
11995;710;11
12097;656;10
12291;764;15
12493;724;14
12581;704;15
12667;689;14
12835;833;14
12848;757;13
12962;675;14
13042;674;14
13052;679;14
13139;563;13
13224;561;12
13405;562;13
13525;570;15
13631;593;14
13831;774;13
13846;711;12
13957;739;13
14052;746;14
14059;746;14
14142;634;13
14227;600;13
14384;544;15
14467;515;15
14557;510;14
14727;660;15
14740;604;15
14825;605;12
14910;606;12
14922;614;12
15007;545;11
15102;550;10
15335;601;15
15443;623;13
15541;636;12
15727;799;13
15738;736;13
15825;733;13
15905;678;15
15914;681;15
16003;566;12
16086;553;13
16250;516;13
16336;516;15
16423;523;16
16569;650;11
16581;583;11
16682;600;11
16771;604;11
16780;608;11
16920;588;11
17042;625;12
17236;660;14
17324;651;14
17419;655;12
17590;802;14
17603;707;13
17699;666;13
17786;651;13
17799;656;13
17890;573;13
17971;556;12
18153;555;12
18239;546;13
18319;539;13
18569;765;11
18583;698;11
18710;744;12
18819;754;11
18828;757;11
18939;706;12
19052;738;14
19247;669;16
19338;634;15
19427;613;15
19587;748;15
19599;669;14
19692;649;14
19781;635;14
19790;639;13
19876;545;13
19965;544;12
20125;531;13
20221;539;14
20304;528;13
20533;737;11
20553;682;11
20650;691;12
20756;711;12
20772;721;11
20885;671;10
20993;696;13
21162;618;15
21290;645;14
21403;653;14
21571;790;13
21584;707;12
21686;701;13
21768;690;13
21777;694;13
21864;579;12
21955;564;11
22202;624;12
22312;635;11
22412;648;12
22797;1014;16
22821;960;15
22917;967;15
22997;938;16
23007;941;16
23099;793;14
23182;773;15
23345;535;13
23442;531;15
23542;549;16
23706;694;18
23716;623;17
23805;629;16
23887;627;11
23897;631;11
24002;565;11
24162;625;12
24348;636;13
24449;652;13
24556;675;12
24724;819;14
24736;742;13
24827;673;13
24915;658;13
24924;660;13
25019;575;12
25108;560;13
25332;602;15
25414;593;15
25495;585;14
25645;713;12
25660;646;11
25803;699;12
25909;723;13
25919;728;13
26023;615;11
26126;636;12
26328;676;14
26424;649;15
26509;605;14
26660;735;14
26672;653;13
26769;650;13
26854;625;13
26863;628;13
26958;538;13
27042;539;12
27211;544;13
27292;530;13
27372;523;13
27591;721;11
27604;650;10
27722;685;12
27822;699;11
27831;703;11
28054;766;13
28141;773;15
28306;707;14
28389;674;15
28477;661;14
28638;798;14
28651;607;12
28751;614;13
28837;614;13
28845;617;13
28937;552;13
29024;553;12
29259;612;11
29365;622;12
29473;640;12
29735;883;15
29748;816;13
29843;824;15
29928;811;14
29937;815;14
30023;665;13
30107;641;13
30272;529;13
30367;529;15
30451;528;15
30604;660;15
30616;598;15
30766;665;12
30869;687;12
30882;695;12
30999;638;10
31110;663;13
31299;686;14
31391;632;14
31487;622;14
31647;758;14
31659;668;13
31757;658;14
31849;648;13
31855;648;13
31951;565;13
32043;560;13
32211;558;13
32294;542;15
32385;544;13
32551;686;11
32574;627;11
32705;667;12
32815;694;12
32824;699;12
32935;646;11
33051;673;13
33249;688;14
33334;633;15
33418;606;14
33572;741;15
33583;652;13
33687;640;14
33775;626;13
33784;630;13
33870;540;13
33954;542;12
34109;530;12
34194;520;13
34284;516;13
34525;735;11
34539;675;11
34639;690;11
34753;724;11
34765;731;11
34879;694;10
34984;706;13
35153;620;13
35323;689;15
35419;671;14
35579;806;13
35590;721;12
35687;708;13
35796;731;12
35804;733;12
35901;581;12
35984;570;12
36211;627;15
36316;641;14
36425;632;14
36611;800;13
36624;728;13
36734;756;13
36817;733;15
36825;730;15
36918;610;14
36998;582;13
37179;560;13
37260;531;15
37337;525;15
37496;666;14
37512;599;14
37673;681;12
37772;688;12
37787;696;12
37936;681;12
38050;718;13
38239;735;15
38331;669;15
38430;666;14
38596;800;15
38608;690;15
38698;656;14
38781;636;13
38792;641;13
38876;549;13
38965;540;15
39118;516;13
39203;509;13
39290;513;15
39439;641;11
39452;580;11
39592;633;11
39712;673;10
39725;682;10
39833;638;10
39941;657;12
40143;697;13
40340;757;14
40432;729;12
40577;845;14
40593;766;13
40689;752;13
40777;741;13
40786;745;13
40874;538;12
41005;580;12
41172;587;13
41297;616;15
41397;625;15
41585;793;13
41596;727;12
41707;708;13
41807;723;14
41817;729;14
41923;647;13
42008;616;14
42165;573;15
42255;560;16
42341;542;14
42493;670;15
42506;591;14
42599;597;12
42695;611;13
42704;617;13
42801;554;12
42890;553;10
43112;614;13
43205;616;13
43305;624;14
43492;784;13
43505;715;13
43606;725;14
43695;703;15
43704;701;15
43793;595;14
43873;577;14
44045;547;16
44113;513;16
44190;505;17
44325;617;16
44332;545;15
44411;545;13
44484;515;12
44491;520;12
44569;462;12
44648;465;11
44857;528;13
44954;548;14
45046;568;11
45212;718;13
45221;656;13
45322;679;13
45390;634;14
45397;637;14
45483;538;14
45557;517;13
45710;494;15
45790;473;15
