time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593952374493;0.0;0.0;236077056;45.4;75818.48
1593952375911;0.0;16.3;236077056;45.4;222599.73
1593952377344;12.625;33.5;219840512;45.3;23921680.94
1593952379078;28.825;73.3;220037120;45.2;7863898.01
1593952380816;31.75;75.5;221327360;45.3;14089888.57
1593952382559;35.95;70.2;210317312;45.3;16530815.47
1593952384283;37.525;78.8;210599936;45.4;475234.14
1593952386088;35.775;70.2;215883776;45.7;23503249.79
1593952387772;14.35;41.8;218382336;45.7;286076.03
