timestamp(ms);elapse-time(ms);tx-load
2623;170;3
2764;295;4
2783;231;3
3035;273;2
3236;455;6
3343;455;6
3448;543;7
3469;437;7
3579;442;8
3762;424;9
3851;410;8
4008;548;10
4090;518;9
4180;512;10
4267;592;9
4287;529;9
4380;533;10
4503;571;11
4690;605;12
4787;609;13
4881;619;12
4967;691;12
5075;699;12
5180;720;14
5282;705;15
5298;619;13
5381;601;14
5466;590;13
5627;564;15
5709;539;15
5789;514;14
5889;597;15
5967;591;12
6057;596;11
6140;592;11
6158;536;11
6247;542;11
6350;564;10
6649;688;14
6747;695;12
6845;708;11
6941;790;12
7040;800;14
7128;784;14
7210;675;14
7226;584;13
7320;577;14
7413;572;14
7577;542;14
7661;537;15
7749;542;15
7833;616;12
7924;608;11
8007;598;11
8118;626;12
8161;588;11
8277;622;12
8396;654;12
8587;668;13
8700;697;14
8792;682;12
8875;745;13
8966;694;13
9091;702;13
9179;692;14
9192;610;14
9276;582;13
9374;589;14
9540;579;13
9624;537;12
9713;538;13
9801;615;13
9901;630;11
10037;670;11
10227;771;13
10245;712;12
10379;759;13
10473;766;14
10656;762;15
10739;714;15
10822;601;14
10907;672;16
10986;616;14
11076;605;15
11171;602;15
11179;528;15
11268;534;15
11369;552;16
11451;473;13
11541;472;14
11656;491;13
11693;431;12
11789;426;12
11902;365;11
11992;348;10
12086;300;10
12174;280;8
12185;197;8
12276;105;6
12368;95;5
